,This Is Love_will.i.am
0,hook
1,william
2,love
3,like
4,love
5,feel
6,feel
7,inside
8,want
9,like
10,want
11,baby
12,let's
13,get
14,tonight
15,feel
16,say
17,hell
18,yeah
19,hell
20,yeah
21,say
22,hell
23,yeah
24,hell
25,yeah
26,say
27,hell
28,yeah
29,hell
30,yeah
31,love
32,love
33,love
34,post-hook
35,eva
36,simons
37,feel
38,love
39,feel
40,love
41,feel
42,love
43,love
44,love
45,love
46,william
47,love
48,beats
49,feel
50,streets
51,love
52,melody
53,notes
54,sheets
55,dope
56,crusader
57,funky
58,terminator
59,created
60,rocket
61,could
62,rock
63,later
64,way
65,beat
66,knocking
67,got
68,feeling
69,alright
70,cause
71,dj
72,got
73,walking
74,ceiling
75,night
76,got
77,rocket
78,globe
79,bomb
80,go
81,fill
82,love
83,watch
84,explode
85,hook
86,+
87,post-hook
88,william
89,+
90,eva
91,simons
92,love
93,like
94,love
95,feel
96,feel
97,inside
98,want
99,like
100,want
101,baby
102,let's
103,get
104,tonight
105,feel
106,say
107,hell
108,yeah
109,hell
110,yeah
111,say
112,hell
113,yeah
114,hell
115,yeah
116,say
117,hell
118,yeah
119,hell
120,yeah
121,love
122,love
123,love
124,feel
125,love
126,feel
127,love
128,feel
129,love
130,love
131,love
132,love
133,william
134,love
135,bass
136,love
137,treble
138,love
139,orchestra
140,violin
141,cello
142,love
143,computer
144,beats
145,harder
146,metal
147,house
148,beats
149,housing
150,bouncing
151,ghetto
152,sip
153,till
154,smashed
155,feeling
156,alright
157,rock
158,ghetto
159,blaster
160,rocking
161,night
162,sent
163,rocket
164,globe
165,bomb
166,go
167,fill
168,love
169,watch
170,explode
171,eh
172,baby
173,yeah
174,alright
175,feel
176,good
177,god
178,yeah
179,alright
180,post-chorus
181,eva
182,simons
183,feel
184,love
185,feel
186,love
187,feel
188,love
189,love
190,love
191,love
192,outro
193,eva
194,simons
195,love
196,love
197,love
198,love
199,love
200,love
201,love
202,love
203,love
204,love
205,love
206,love
207,feel
208,love
209,feel
210,love
211,feel
212,love
213,feel
214,love
215,feel
216,love
217,feel
218,love
219,feel
220,love
221,feel
222,love
