,Atlas Hands_Benjamin Francis Leftwich
0,take
1,docks
2,there's
3,ship
4,without
5,name
6,sailing
7,middle
8,sea
9,water
10,deeper
11,anything
12,ever
13,seen
14,jump
15,right
16,swim
17,free
18,remember
19,face
20,cause
21,still
22,love
23,place
24,stars
25,things
26,share
27,money
28,came
29,like
30,rain
31,hands
32,waiting
33,cold
34,long
35,promise
36,appear
37,people
38,churches
39,started
40,singing
41,hands
42,say
43,god
44,good
45,god
46,cares
47,remember
48,face
49,cause
50,still
51,love
52,place
53,stars
54,things
55,share
56,i've
57,got
58,plan
59,i've
60,got
61,atlas
62,hands
63,i'm
64,gonna
65,turn
66,listen
67,lessons
68,i've
69,learned
70,i've
71,got
72,plan
73,i've
74,got
75,atlas
76,hands
77,i'm
78,gonna
79,turn
80,listen
81,lessons
82,i've
83,learned
