,Your Song_Elton John
0,little
1,bit
2,funny
3,feeling
4,inside
5,i'm
6,one
7,easily
8,hide
9,i
10,much
11,money
12,boy
13,i
14,i'd
15,buy
16,big
17,house
18,could
19,live
20,i
21,sculptor
22,heh
23,man
24,makes
25,potions
26,traveling
27,show
28,i
29,know
30,much
31,best
32,i
33,my
34,gift
35,my
36,song
37,one's
38,you
39,you
40,tell
41,everybody
42,your
43,song
44,may
45,quite
46,simple
47,done
48,i
49,hope
50,you
51,mind
52,i
53,hope
54,you
55,mind
56,i
57,put
58,words
59,wonderful
60,life
61,you're
62,world
63,i
64,sat
65,roof
66,kicked
67,moss
68,well
69,verses
70,well
71,they've
72,got
73,me
74,quite
75,cross
76,sun's
77,quite
78,kind
79,i
80,wrote
81,song
82,people
83,like
84,you
85,keep
86,turned
87,excuse
88,me
89,forgetting
90,things
91,i
92,you
93,see
94,i've
95,forgotten
96,they're
97,green
98,they're
99,blue
100,anyway
101,thing
102,i
103,really
104,mean
105,yours
106,sweetest
107,eyes
108,i've
109,ever
110,seen
111,you
112,tell
113,everybody
114,your
115,song
116,may
117,quite
118,simple
119,done
120,i
121,hope
122,you
123,mind
124,i
125,hope
126,you
127,mind
128,i
129,put
130,words
131,wonderful
132,life
133,you're
134,world
135,i
136,hope
137,you
138,mind
139,i
140,hope
141,you
142,mind
143,i
144,put
145,words
146,wonderful
147,life
148,you're
149,world
