,When You Say Nothing at All_Ronan Keating
0,amazing
1,you
2,speak
3,right
4,my
5,heart
6,without
7,saying
8,word
9,you
10,light
11,dark
12,try
13,i
14,may
15,i
16,never
17,explain
18,i
19,hear
20,you
21,say
22,thing
23,smile
24,your
25,face
26,lets
27,me
28,know
29,you
30,need
31,me
32,there's
33,truth
34,your
35,eyes
36,saying
37,you'll
38,never
39,leave
40,me
41,touch
42,your
43,hand
44,says
45,you'll
46,catch
47,me
48,wherever
49,i
50,fall
51,you
52,say
53,best
54,you
55,say
56,nothing
57,day
58,long
59,i
60,hear
61,people
62,talking
63,loud
64,you
65,hold
66,me
67,near
68,you
69,drown
70,crowd
71,try
72,may
73,could
74,never
75,define
76,what's
77,said
78,your
79,heart
80,mine
81,smile
82,your
83,face
84,lets
85,me
86,know
87,you
88,need
89,me
90,there's
91,truth
92,your
93,eyes
94,saying
95,you'll
96,never
97,leave
98,me
99,touch
100,your
101,hand
102,says
103,you'll
104,catch
105,me
106,wherever
107,i
108,fall
109,you
110,say
111,best
112,you
113,say
114,best
115,you
116,say
117,nothing
118,instrumental
119,oh
120,smile
121,your
122,face
123,lets
124,me
125,know
126,you
127,need
128,me
129,there's
130,truth
131,your
132,eyes
133,saying
134,you'll
135,never
136,leave
137,me
138,touch
139,your
140,hand
141,says
142,you'll
143,catch
144,me
145,wherever
146,i
147,fall
148,you
149,say
150,best
151,you
152,say
153,best
154,you
155,say
156,nothing
157,you
158,say
159,best
160,you
161,say
162,nothing
163,you
164,say
165,best
166,you
167,say
168,nothing
169,smile
170,your
171,face
172,truth
173,your
174,eyes
175,touch
176,your
177,hand
178,let's
179,me
180,know
181,you
182,need
183,me
184,you
185,say
186,best
187,you
188,say
189,nothing
190,you
191,say
192,best
193,you
194,say
195,nothing
