,"Jesus, Etc._Wilco"
0,jesus
1,cry
2,you
3,rely
4,me
5,honey
6,you
7,combine
8,anything
9,you
10,want
11,i'll
12,around
13,you
14,right
15,stars
16,one
17,setting
18,sun
19,tall
20,buildings
21,shake
22,voices
23,escape
24,singing
25,sad
26,sad
27,songs
28,tuned
29,chords
30,strung
31,your
32,cheeks
33,bitter
34,melodies
35,turning
36,your
37,orbit
38,around
39,cry
40,you
41,rely
42,me
43,honey
44,you
45,come
46,time
47,you
48,want
49,i'll
50,around
51,you
52,right
53,stars
54,one
55,setting
56,sun
57,tall
58,buildings
59,shake
60,voices
61,escape
62,singing
63,sad
64,sad
65,songs
66,tuned
67,chords
68,strung
69,your
70,cheeks
71,bitter
72,melodies
73,turning
74,your
75,orbit
76,around
77,voices
78,whine
79,skyscrapers
80,scraping
81,together
82,your
83,voice
84,smoking
85,last
86,cigarettes
87,you
88,get
89,turning
90,your
91,orbit
92,around
93,love
94,love
95,love
96,love
97,love
98,god's
99,money
100,everyone
101,burning
102,sun
103,tall
104,buildings
105,shake
106,voices
107,escape
108,singing
109,sad
110,sad
111,songs
112,tuned
113,chords
114,strung
115,your
116,cheeks
117,bitter
118,melodies
119,turning
120,your
121,orbit
122,around
123,voices
124,whine
125,skyscrapers
126,scraping
127,together
128,your
129,voice
130,smoking
131,last
132,cigarettes
133,you
134,get
135,turning
136,your
137,orbit
138,around
139,last
140,cigarettes
141,you
142,get
143,turning
144,your
145,orbit
146,around
147,last
148,cigarettes
149,you
150,get
151,turning
152,your
153,orbit
154,around
