,Unchained Melody_The Righteous Brothers
0,whoa
1,love
2,darling
3,i've
4,hungered
5,touch
6,long
7,lonely
8,time
9,time
10,goes
11,slowly
12,time
13,much
14,still
15,mine
16,need
17,love
18,need
19,love
20,god
21,speed
22,love
23,lonely
24,rivers
25,flow
26,sea
27,sea
28,open
29,arms
30,sea
31,lonely
32,rivers
33,sigh
34,"""wait"
35,wait
36,i'll
37,coming
38,home
39,wait
40,"me"""
41,whoa
42,love
43,darling
44,i've
45,hungered
46,hungered
47,touch
48,long
49,lonely
50,time
51,time
52,goes
53,slowly
54,time
55,much
56,still
57,mine
58,need
59,love
60,need
61,love
62,god
63,speed
64,love
