,Shut Up and Dance_Walk the Moon
0,oh
1,you
2,dare
3,look
4,back
5,keep
6,your
7,eyes
8,me
9,i
10,said
11,you're
12,holding
13,back
14,she
15,said
16,shut
17,dance
18,me
19,woman
20,my
21,destiny
22,she
23,said
24,ooh
25,hoo
26,shut
27,dance
28,me
29,victims
30,night
31,chemical
32,physical
33,kryptonite
34,helpless
35,bass
36,fading
37,light
38,oh
39,bound
40,get
41,together
42,bound
43,get
44,together
45,prechorus
46,she
47,took
48,my
49,arm
50,i
51,know
52,happened
53,took
54,floor
55,she
56,said
57,oh
58,you
59,dare
60,look
61,back
62,keep
63,your
64,eyes
65,me
66,i
67,said
68,you're
69,holding
70,back
71,she
72,said
73,shut
74,dance
75,me
76,woman
77,my
78,destiny
79,she
80,said
81,ooh
82,hoo
83,shut
84,dance
85,me
86,backless
87,dress
88,beat
89,sneaks
90,my
91,discothèque
92,juliet
93,teenage
94,dream
95,i
96,felt
97,my
98,chest
99,she
100,looked
101,me
102,i
103,knew
104,bound
105,together
106,bound
107,together
108,prechorus
109,she
110,took
111,my
112,arm
113,i
114,know
115,happened
116,took
117,floor
118,she
119,said
120,oh
121,you
122,dare
123,look
124,back
125,keep
126,your
127,eyes
128,me
129,i
130,said
131,you're
132,holding
133,back
134,she
135,said
136,shut
137,dance
138,me
139,woman
140,my
141,destiny
142,she
143,said
144,ooh
145,hoo
146,shut
147,dance
148,me
149,oh
150,c'mon
151,girl
152,deep
153,her
154,eyes
155,i
156,think
157,i
158,see
159,future
160,i
161,realize
162,my
163,last
164,chance
165,she
166,took
167,my
168,arm
169,i
170,know
171,happened
172,took
173,floor
174,she
175,said
176,oh
177,you
178,dare
179,look
180,back
181,keep
182,your
183,eyes
184,me
185,i
186,said
187,you're
188,holding
189,back
190,she
191,said
192,shut
193,dance
194,me
195,woman
196,my
197,destiny
198,she
199,said
200,ooh
201,hoo
202,shut
203,dance
204,you
205,dare
206,look
207,back
208,keep
209,your
210,eyes
211,me
212,i
213,said
214,you're
215,holding
216,back
217,she
218,said
219,shut
220,dance
221,me
222,woman
223,my
224,destiny
225,she
226,said
227,ooh
228,hoo
229,shut
230,dance
231,me
232,ooh
233,hoo
234,shut
235,dance
236,me
237,ooh
238,hoo
239,shut
240,dance
241,me
