,Little Bit_Lykke Li
0,hands
1,i'm
2,proud
3,love
4,eyes
5,shut
6,i'm
7,thinking
8,move
9,b
10,can't
11,cause
12,know
13,eye
14,eye
15,thigh
16,thigh
17,let
18,go
19,think
20,i'm
21,little
22,bit
23,little
24,bit
25,little
26,bit
27,love
28,little
29,bit
30,little
31,bit
32,little
33,bit
34,love
35,keep
36,legs
37,apart
38,forget
39,tainted
40,heart
41,never
42,ever
43,first
44,say
45,still
46,know
47,would
48,push
49,button
50,pull
51,trigger
52,pull
53,mountain
54,jump
55,cliff
56,cause
57,know
58,baby
59,love
60,love
61,little
62,bit
63,would
64,would
65,say
66,would
67,mean
68,could
69,2x
70,think
71,i'm
72,little
73,bit
74,little
75,bit
76,little
77,bit
78,love
79,little
80,bit
81,little
82,bit
83,little
84,bit
85,love
86,bridge
87,come
88,stay
89,stroke
90,hair
91,cause
92,would
93,give
94,anything
95,anything
96,man
97,come
98,stay
99,stroke
100,hair
101,cause
102,would
103,give
104,anything
105,anything
106,man
107,-
108,variation
109,little
110,bit
111,little
112,bit
113,little
114,bit
115,love
116,little
117,bit
118,little
119,bit
120,little
121,bit
122,love
123,think
124,i'm
125,little
126,bit
127,little
128,bit
129,little
130,bit
131,love
132,little
133,bit
134,little
135,bit
136,little
137,bit
138,love
139,think
140,i'm
141,little
142,bit
143,little
144,bit
145,little
146,bit
147,love
148,little
149,bit
150,little
151,bit
152,little
153,bit
154,outro
155,little
156,bit
157,little
158,bit
159,little
160,bit
161,little
162,bit
163,little
164,bit
