,Hounds of Love_Kate Bush
0,trees
1,coming
2,child
3,running
4,night
5,afraid
6,might
7,hiding
8,dark
9,hiding
10,street
11,following
12,hounds
13,love
14,hunting
15,i've
16,always
17,coward
18,know
19,what's
20,good
21,oh
22,go
23,coming
24,trees
25,oh
26,help
27,someone
28,help
29,please
30,take
31,shoes
32,throw
33,lake
34,i'll
35,two
36,steps
37,water
38,found
39,fox
40,caught
41,dogs
42,let
43,take
44,hands
45,little
46,heart
47,beats
48,fast
49,i'm
50,ashamed
51,running
52,away
53,nothing
54,real
55,can't
56,deal
57,i'm
58,still
59,afraid
60,among
61,hounds
62,love
63,feel
64,arms
65,surrounding
66,i've
67,always
68,coward
69,never
70,know
71,what's
72,good
73,oh
74,go
75,let
76,go
77,hold
78,coming
79,trees
80,oh
81,help
82,darling
83,help
84,please
85,take
86,shoes
87,throw
88,lake
89,i'll
90,two
91,steps
92,water
93,know
94,what's
95,good
96,know
97,what's
98,good
99,need
100,love
101,love
102,love
103,love
104,love
105,yeah
106,yeah
107,yo
108,yeah
109,yoyour
110,love
111,take
112,shoes
113,throw
114,lake
115,know
116,really
117,need
118,know
119,really
120,need
121,need
122,love
123,love
124,love
125,love
126,love
127,yeah
