,Jar of Hearts_Christina Perri
0,i
1,know
2,i
3,can't
4,take
5,one
6,step
7,towards
8,you
9,‘cause
10,that's
11,waiting
12,regret
13,you
14,know
15,i'm
16,your
17,ghost
18,anymore
19,you
20,lost
21,love
22,i
23,loved
24,prechorus
25,i've
26,learned
27,live
28,half
29,alive
30,you
31,want
32,me
33,one
34,time
35,you
36,think
37,you
38,runnin'
39,'round
40,leaving
41,scars
42,collecting
43,your
44,jar
45,hearts
46,tearing
47,love
48,apart
49,you're
50,gonna
51,catch
52,cold
53,ice
54,inside
55,your
56,soul
57,come
58,back
59,me
60,you
61,think
62,you
63,i
64,hear
65,you're
66,asking
67,around
68,i
69,anywhere
70,found
71,i
72,grown
73,strong
74,ever
75,fall
76,back
77,your
78,arms
79,prechorus
80,i've
81,learned
82,live
83,half
84,alive
85,you
86,want
87,me
88,one
89,time
90,you
91,think
92,you
93,runnin'
94,'round
95,leaving
96,scars
97,collecting
98,your
99,jar
100,hearts
101,tearing
102,love
103,apart
104,you're
105,gonna
106,catch
107,cold
108,ice
109,inside
110,your
111,soul
112,come
113,back
114,me
115,you
116,think
117,you
118,dear
119,took
120,long
121,feel
122,alright
123,remember
124,put
125,back
126,light
127,my
128,eyes
129,i
130,wish
131,i
132,missed
133,first
134,time
135,kissed
136,‘cause
137,you
138,broke
139,your
140,promises
141,you're
142,back
143,you
144,get
145,get
146,me
147,back
148,you
149,think
150,you
151,runnin'
152,'round
153,leaving
154,scars
155,collecting
156,your
157,jar
158,hearts
159,tearing
160,love
161,apart
162,you're
163,gonna
164,catch
165,cold
166,ice
167,inside
168,your
169,soul
170,come
171,back
172,me
173,come
174,back
175,you
176,think
177,you
178,runnin'
179,'round
180,leaving
181,scars
182,collecting
183,your
184,jar
185,hearts
186,tearing
187,love
188,apart
189,you're
190,gonna
191,catch
192,cold
193,ice
194,inside
195,your
196,soul
197,come
198,back
199,me
200,come
201,back
202,you
203,think
204,you
205,you
206,think
207,you
208,you
209,think
210,you
