,No Name No. 5_Elliott Smith
0,got
1,bitten
2,fingernails
3,head
4,full
5,past
6,everybody's
7,gone
8,last
9,sweet
10,sweet
11,smile
12,that's
13,fading
14,fast
15,'cause
16,everybody's
17,gone
18,last
19,get
20,upset
21,anymore
22,there's
23,nothing
24,wrong
25,wrong
26,second
27,alone
28,chance
29,let
30,pass
31,everybody's
32,gone
33,last
34,i
35,hope
36,you're
37,waiting
38,waiting
39,'round
40,me
41,'cause
42,i'm
43,going
44,anywhere
45,obviously
46,got
47,broken
48,heart
49,your
50,name
51,my
52,cast
53,everybody's
54,gone
55,last
56,everybody's
57,gone
58,last
