,I'll Be_Edwin McCain
0,strands
1,eyes
2,color
3,wonderful
4,stop
5,steal
6,breath
7,emeralds
8,mountains
9,thrust
10,towards
11,sky
12,never
13,revealing
14,depth
15,pre-chorus
16,tell
17,belong
18,together
19,dress
20,trappings
21,love
22,i'll
23,captivated
24,i'll
25,hang
26,lips
27,instead
28,gallows
29,heartache
30,hang
31,i'll
32,cryin'
33,shoulder
34,i'll
35,love's
36,suicide
37,i'll
38,better
39,i'm
40,older
41,i'll
42,greatest
43,fan
44,life
45,rain
46,falls
47,angry
48,tin
49,roof
50,lie
51,awake
52,bed
53,survival
54,living
55,proof
56,love
57,alive
58,dead
59,pre-chorus
60,tell
61,belong
62,together
63,dress
64,trappings
65,love
66,i'll
67,captivated
68,i'll
69,hang
70,lips
71,instead
72,gallows
73,heartache
74,hang
75,i'll
76,cryin'
77,shoulder
78,i'll
79,love's
80,suicide
81,i'll
82,better
83,i'm
84,older
85,i'll
86,greatest
87,fan
88,life
89,bridge
90,i've
91,dropped
92,i've
93,burned
94,i've
95,fought
96,way
97,back
98,dead
99,tuned
100,turned
101,remembered
102,thing
103,said
104,i'll
105,cryin'
106,shoulder
107,i'll
108,love's
109,suicide
110,i'll
111,better
112,i'm
113,older
114,i'll
115,greatest
116,fan
117,life
118,i'll
119,cryin'
120,shoulder
121,i'll
122,love's
123,suicide
124,i'll
125,better
126,i'm
127,older
128,i'll
129,greatest
130,fan
131,life
132,outro
133,greatest
134,fan
135,life
136,outro
137,saxophone
138,solo
