,Bury Your Head_Saosin
0,bury
1,your
2,head
3,bury
4,your
5,head
6,i
7,feeling
8,fine
9,you'll
10,coming
11,clean
12,tonight
13,i'll
14,falling
15,you
16,call
17,me
18,your
19,valentine
20,call
21,me
22,tonight
23,i
24,say
25,okay
26,things
27,you
28,said
29,i'm
30,rehearsing
31,things
32,you
33,said
34,i'm
35,rehearsing
36,went
37,back
38,us
39,closed
40,eyes
41,rolled
42,back
43,step
44,i
45,could
46,know
47,him
48,come
49,thought
50,emerges
51,take
52,back
53,step
54,i
55,could
56,never
57,love
58,your
59,eyes
60,changed
61,bury
62,your
63,head
64,child
65,smashed
66,you
67,psalms
68,never
69,call
70,me
71,fall
72,i'll
73,sleep
74,tonight
75,you're
76,okay
77,i
78,say
79,okay
80,things
81,you
82,said
83,i'm
84,rehearsing
85,things
86,you
87,said
88,i'm
89,rehearsing
90,went
91,back
92,us
93,closed
94,eyes
95,rolled
96,back
97,step
98,i
99,could
100,know
101,him
102,come
103,thought
104,emerges
105,take
106,back
107,step
108,i
109,could
110,never
111,love
112,your
113,eyes
114,changed
115,ones
116,see
117,him
118,come
119,you
120,call
121,love
122,stole
123,my
124,lies
125,you
126,write
127,wandered
128,around
129,'round
130,my
131,mouth
132,stole
133,my
134,lies
135,you
136,write
137,stole
138,ones
139,see
140,enough
141,went
142,back
143,us
144,closed
145,eyes
146,rolled
147,back
148,step
149,i
150,could
151,know
152,him
153,come
154,thought
155,emerges
156,take
157,back
158,step
159,i
160,could
161,never
162,love
163,your
164,eyes
165,changed
166,you'll
167,coming
168,clean
169,tonight
