,Somethin' Stupid_Frank Sinatra
0,vocals
1,frank
2,sinatra
3,&
4,nancy
5,sinatra
6,know
7,stand
8,line
9,think
10,time
11,spend
12,evening
13,go
14,place
15,dance
16,know
17,there's
18,chance
19,leaving
20,afterwards
21,drop
22,quiet
23,little
24,place
25,drink
26,two
27,go
28,spoil
29,saying
30,somethin'
31,stupid
32,like
33,"""i"
34,love
35,"you"""
36,see
37,eyes
38,despise
39,old
40,lies
41,heard
42,night
43,though
44,line
45,true
46,never
47,seemed
48,right
49,practice
50,every
51,day
52,find
53,clever
54,lines
55,say
56,make
57,meaning
58,come
59,true
60,think
61,i'll
62,wait
63,evening
64,gets
65,late
66,i'm
67,alone
68,time
69,right
70,perfume
71,fills
72,head
73,stars
74,get
75,red
76,oh
77,night's
78,blue
79,go
80,spoil
81,saying
82,somethin'
83,stupid
84,like
85,"""i"
86,love
87,"you"""
88,time
89,right
90,perfume
91,fills
92,head
93,stars
94,get
95,red
96,oh
97,night's
98,blue
99,go
100,spoil
101,saying
102,somethin'
103,stupid
104,like
105,"""i"
106,love
107,"you"""
108,outro
109,"""i"
110,love
111,"you"""
112,"""i"
113,love
114,"you"""
115,"""i"
116,love
117,"you"""
118,"""i"
119,love
120,"you"""
121,"""i"
122,love
123,"you"""
