,Baby Can I Hold You_Tracy Chapman
0,sorry
1,you
2,say
3,years
4,gone
5,still
6,words
7,come
8,easily
9,like
10,sorry
11,like
12,sorry
13,forgive
14,me
15,you
16,say
17,years
18,gone
19,still
20,words
21,come
22,easily
23,like
24,forgive
25,me
26,forgive
27,me
28,you
29,say
30,baby
31,baby
32,i
33,hold
34,you
35,tonight
36,maybe
37,i
38,told
39,you
40,right
41,words
42,right
43,time
44,you'd
45,mine
46,i
47,love
48,you
49,you
50,say
51,years
52,gone
53,still
54,words
55,come
56,easily
57,like
58,i
59,love
60,you
61,i
62,love
63,you
64,you
65,say
66,baby
67,baby
68,i
69,hold
70,you
71,tonight
72,maybe
73,i
74,told
75,you
76,right
77,words
78,right
79,time
80,you'd
81,mine
82,baby
83,i
84,hold
85,you
86,tonight
87,maybe
88,i
89,told
90,you
91,right
92,words
93,right
94,time
95,you'd
96,mine
97,you'd
98,mine
99,you'd
100,mine
