,Big Girls Cry_Sia
0,tough
1,girl
2,fast
3,lane
4,time
5,love
6,time
7,hate
8,drama
9,time
10,games
11,tough
12,girl
13,whose
14,soul
15,aches
16,pre-chorus
17,i'm
18,home
19,check
20,phone
21,nothing
22,though
23,act
24,busy
25,order
26,pay
27,tv
28,agony
29,oh
30,may
31,cry
32,ruinin'
33,makeup
34,wash
35,away
36,things
37,taken
38,care
39,look
40,pretty
41,big
42,girls
43,cry
44,hearts
45,breaking
46,big
47,girls
48,cry
49,hearts
50,breaking
51,big
52,girls
53,cry
54,heart
55,breaking
56,tough
57,girl
58,i'm
59,pain
60,lonely
61,top
62,blackouts
63,airplanes
64,still
65,pour
66,glass
67,champagne
68,tough
69,girl
70,whose
71,soul
72,aches
73,pre-chorus
74,i'm
75,home
76,check
77,phone
78,nothing
79,though
80,act
81,busy
82,order
83,pay
84,tv
85,agony
86,oh
87,may
88,cry
89,ruining
90,makeup
91,wash
92,away
93,things
94,taken
95,care
96,look
97,pretty
98,big
99,girls
100,cry
101,hearts
102,breaking
103,big
104,girls
105,cry
106,hearts
107,breaking
108,big
109,girls
110,cry
111,hearts
112,breaking
113,bridge
114,wake
115,wake
116,wake
117,wake
118,wake
119,wake
120,wake
121,wake
122,wake
123,wake
124,wake
125,wake
126,wake
127,alone
128,may
129,cry
130,ruinin'
131,makeup
132,wash
133,away
134,things
135,taken
136,care
137,look
138,pretty
139,big
140,girls
141,cry
142,hearts
143,breaking
144,big
145,girls
146,cry
147,hearts
148,breaking
149,big
150,girls
151,cry
152,heart
153,breaking
