,Killing Me Softly with His Song_Fugees
0,parmaklarıyla
1,acımı
2,tıngırdatıyor
3,kelimeleriyle
4,hayatımı
5,şarkı
6,söylüyor
7,beni
8,yavaşça
9,şarkısıyla
10,öldürüyor
11,beni
12,yavaşça
13,şarkısıyla
14,öldürüyor
15,tüm
16,hayatımı
17,kelimeleriyle
18,anlatıyor
19,beni
20,yavaşça
21,şakısında
22,öldürüyor
23,güzel
24,bir
25,şarkı
26,söylediğini
27,duydum
28,bir
29,tarzı
30,olduğunu
31,duydum
32,onu
33,görmeye
34,geldim
35,dinlemek
36,için
37,işte
38,ordaydı
39,bu
40,genç
41,çocuk
42,gözlerime
43,bir
44,yabancı
45,parmaklarıyla
46,acımı
47,tıngırdatıyor
48,bir
49,kez
50,bir
51,kez
52,kelimeleriyle
53,hayatımı
54,şarkı
55,söylüyor
56,iki
57,keziki
58,kez
59,beni
60,yavaşça
61,şarkısıyla
62,öldürüyor
63,beni
64,yavaşça
65,şarkısıyla
66,öldürüyor
67,tüm
68,hayatımı
69,kelimeleriyle
70,anlatıyor
71,beni
72,yavaşça
73,şarkısıyla
74,öldürüyor
75,heyecanla
76,tüm
77,yüzümün
78,kızardığını
79,hissettim
80,kalabalıktan
81,utandım
82,onun
83,mektuplarımı
84,bulduğunu
85,hepsini
86,yüksek
87,sesle
88,okuduğunu
89,hissettim
90,bitirmesi
91,için
92,dua
93,ettim
94,ama
95,sadece
96,söylemeye
97,devam
98,etti
99,parmaklarıyla
100,acımı
101,tıngırdatıyor
102,bir
103,kez
104,bir
105,kez
106,kelimeleriyle
107,hayatımı
108,şarkı
109,söylüyor
110,iki
111,keziki
112,kez
113,beni
114,yavaşça
115,şarkısıyla
116,öldürüyor
117,beni
118,yavaşça
119,şarkısıyla
120,öldürüyor
121,tüm
122,hayatımı
123,kelimeleriyle
124,anlatıyor
125,beni
126,yavaşça
127,şarkısıyla
128,öldürüyor
129,woah
130,woah-oah-ah-ah-ah
131,uh
132,uh
133,la-la-la
134,la
135,la
136,la
137,woah
138,la
139,woah
140,la
141,ha
142,ha
143,ha
144,ha
145,la-ah-ah-ah-ah
146,parmaklarıyla
147,acımı
148,tıngırdatıyor
149,evet
150,hayatımı
151,şarkı
152,söylüyordu
153,kelimeleriyle
154,hayatımı
155,şarkı
156,söylüyor
157,beni
158,yavaşça
159,şarkısıyla
160,öldürüyor
161,beni
162,yavaşça
163,şarkısıyla
164,öldürüyor
165,tüm
166,hayatımı
167,kelimeleriyle
168,anlatıyor
169,beni
170,yavaşça
171,şarkısıyla
172,öldürüyor
