,Kill the Messenger_Jack's Mannequin
0,oh
1,my
2,god
3,hurts
4,like
5,hell
6,i
7,dream
8,i
9,lost
10,good
11,outer
12,space
13,tell
14,me
15,doctor
16,shake
17,waking
18,nightmare
19,worse
20,i
21,sleeping
22,kill
23,messenger
24,i
25,swear
26,me
27,someone
28,i
29,used
30,know
31,get
32,church
33,cause
34,you're
35,good
36,girl
37,i
38,never
39,told
40,you
41,i
42,need
43,you
44,could
45,thing
46,leaves
47,us
48,forever
49,i'm
50,gonna
51,send
52,little
53,rain
54,your
55,way
56,i'm
57,gonna
58,send
59,little
60,rain
61,easy
62,caving
63,i
64,walked
65,your
66,apartment
67,twice
68,today
69,you
70,gone
71,work
72,colors
73,got
74,cold
75,come
76,quick
77,i
78,losing
79,feeling
80,kill
81,messenger
82,i
83,swear
84,me
85,someone
86,i
87,used
88,know
89,get
90,church
91,cause
92,you're
93,good
94,girl
95,i
96,never
97,told
98,you
99,i
100,need
101,you
102,could
103,thing
104,leaves
105,us
106,forever
107,i'm
108,gonna
109,send
110,little
111,rain
112,your
113,way
114,i'm
115,gonna
116,send
117,little
118,rain
119,send
120,little
121,rain
122,i'm
123,gonna
124,send
125,little
126,rain
127,pour
128,you
129,rain
130,makes
131,flowers
132,bloom
133,rain
134,leave
135,you
136,alone
137,keeps
138,eyelashes
139,falling
140,wishes
141,washed
142,away
143,kill
144,messenger
145,i
146,swear
147,me
148,someone
149,i
150,used
151,know
152,get
153,church
154,cause
155,you're
156,good
157,girl
158,i
159,never
160,told
161,you
162,i
163,need
164,you
165,could
166,thing
167,leaves
168,us
169,forever
170,i'm
171,gonna
172,send
173,little
174,rain
175,your
176,way
177,i'm
178,gonna
179,send
180,little
181,rain
182,i'm
183,gonna
184,send
185,little
186,rain
187,your
188,way
