,Absolute Beginners_David Bowie
0,i've
1,nothing
2,much
3,offer
4,there's
5,nothing
6,much
7,take
8,i'm
9,absolute
10,beginner
11,i'm
12,absolutely
13,sane
14,long
15,we're
16,together
17,rest
18,go
19,hell
20,i
21,absolutely
22,love
23,you
24,we're
25,absolute
26,beginners
27,eyes
28,completely
29,open
30,nervous
31,love
32,song
33,could
34,fly
35,mountains
36,could
37,laugh
38,ocean
39,like
40,films
41,there's
42,reason
43,feel
44,hard
45,times
46,lay
47,hard
48,lines
49,absolutely
50,true
51,nothing
52,much
53,could
54,happen
55,nothing
56,can't
57,shake
58,oh
59,we're
60,absolute
61,beginners
62,nothing
63,much
64,stake
65,long
66,you're
67,still
68,smiling
69,there's
70,nothing
71,i
72,need
73,i
74,absolutely
75,love
76,you
77,we're
78,absolute
79,beginners
80,my
81,love
82,your
83,love
84,we're
85,certain
86,succeed
87,love
88,song
89,could
90,fly
91,mountains
92,sail
93,heartaches
94,like
95,films
96,there's
97,reason
98,feel
99,hard
100,times
101,lay
102,hard
103,lines
104,absolutely
105,true
