,I Want You_Bob Dylan
0,guilty
1,undertaker
2,sighs
3,lonesome
4,organ
5,grinder
6,cries
7,silver
8,saxophones
9,say
10,refuse
11,cracked
12,bells
13,washedout
14,horns
15,blow
16,face
17,scorn
18,it’s
19,way
20,wasn’t
21,born
22,lose
23,want
24,want
25,want
26,bad
27,honey
28,want
29,drunken
30,politician
31,leaps
32,upon
33,street
34,mothers
35,weep
36,saviors
37,fast
38,asleep
39,wait
40,wait
41,interrupt
42,drinking
43,broken
44,cup
45,ask
46,open
47,gate
48,want
49,want
50,yes
51,want
52,bad
53,honey
54,want
55,fathers
56,they’ve
57,gone
58,true
59,love
60,they’ve
61,without
62,daughters
63,put
64,'cause
65,don’t
66,think
67,well
68,return
69,queen
70,spades
71,talk
72,chambermaid
73,knows
74,i’m
75,afraid
76,look
77,good
78,there’s
79,nothing
80,doesn’t
81,see
82,knows
83,i’d
84,like
85,doesn’t
86,matter
87,want
88,want
89,yes
90,want
91,bad
92,honey
93,want
94,dancing
95,child
96,chinese
97,suit
98,spoke
99,took
100,flute
101,wasn’t
102,cute
103,lied
104,took
105,ride
106,uh
107,time
108,side
109,want
110,want
111,yes
112,want
113,bad
114,honey
115,want
