,Let You Down_Dave Matthews Band
0,i
1,let
2,you
3,let
4,me
5,pick
6,you
7,i
8,let
9,you
10,let
11,me
12,climb
13,you
14,top
15,i
16,see
17,view
18,tangled
19,your
20,hair
21,i
22,let
23,you
24,i
25,lid
26,upon
27,my
28,head
29,i
30,you
31,could
32,look
33,inside
34,see
35,what's
36,my
37,mind
38,i
39,let
40,you
41,oh
42,forgive
43,me
44,you
45,give
46,me
47,love
48,let
49,me
50,walk
51,you
52,maybe
53,i
54,could
55,say
56,maybe
57,talk
58,you
59,open
60,let
61,me
62,walk
63,away
64,walk
65,away
66,i
67,lid
68,upon
69,my
70,head
71,i
72,you
73,could
74,look
75,inside
76,see
77,what's
78,my
79,mind
80,you
81,could
82,look
83,inside
84,see
85,what's
86,my
87,mind
88,i
89,let
90,you
91,could
92,i
93,fool
94,like
95,me
96,i
97,let
98,you
99,tail
100,my
101,legs
102,i'm
103,puppy
104,you
105,love
106,i'm
107,puppy
108,you
109,love
110,i
111,lid
112,upon
113,my
114,head
115,i
116,you
117,could
118,look
119,inside
120,see
121,what's
122,my
123,mind
124,oh
125,you
126,i
127,let
128,you
129,i'm
130,puppy
131,your
132,love
133,i'm
134,puppy
135,your
136,love
137,forgive
138,me
139,forgive
140,me
141,forgive
142,me
143,i
144,let
145,you
