,Ever Fallen in Love_Nouvelle Vague
0,you
1,spurn
2,my
3,natural
4,emotions
5,you
6,make
7,me
8,feel
9,like
10,dirt
11,i'm
12,hurt
13,i
14,start
15,commotion
16,i
17,run
18,risk
19,losing
20,you
21,that's
22,worse
23,ever
24,fallen
25,love
26,someone
27,ever
28,fallen
29,love
30,love
31,someone
32,ever
33,fallen
34,love
35,love
36,someone
37,you
38,shouldn't've
39,fallen
40,love
41,i
42,can't
43,see
44,much
45,future
46,unless
47,find
48,what's
49,blame
50,shame
51,oh
52,shame
53,can't
54,together
55,realize
56,ever
57,fallen
58,love
59,someone
60,ever
61,fallen
62,love
63,love
64,someone
65,ever
66,fallen
67,love
68,love
69,someone
70,you
71,shouldn't've
72,fallen
73,love
74,ever
75,fallen
76,love
77,someone
78,ever
79,fallen
80,love
81,love
82,someone
83,ever
84,fallen
85,love
86,love
87,someone
88,you
89,shouldn't've
90,fallen
91,love
92,ever
93,fallen
94,love
95,someone
96,ever
97,fallen
98,love
99,love
100,someone
101,ever
102,fallen
103,love
104,love
105,someone
106,you
107,shouldn't've
108,fallen
109,love
110,ever
111,fallen
112,love
113,someone
114,ever
115,fallen
116,love
117,love
118,someone
119,ever
120,fallen
121,love
122,love
123,someone
124,you
125,shouldn't've
126,fallen
127,love
128,you
129,disturb
130,my
131,natural
132,emotions
133,you
134,make
135,me
136,feel
137,like
138,dirt
139,i'm
140,hurt
141,i
142,start
143,commotion
144,i'll
145,end
146,losing
147,you
148,that's
149,worse
150,ever
151,fallen
152,love
153,someone
154,ever
155,fallen
156,love
157,love
158,someone
159,ever
160,fallen
161,love
162,love
163,someone
164,you
165,shouldn't've
166,fallen
167,love
168,ever
169,fallen
170,love
171,someone
172,ever
173,fallen
174,love
175,love
176,someone
177,ever
178,fallen
179,love
180,love
181,someone
182,you
183,shouldn't've
184,fallen
185,love
186,la
187,la
188,la
189,la
190,la
191,la
