,Heaven_Bryan Adams
0,oh
1,thinkin'
2,younger
3,years
4,you
5,me
6,young
7,wild
8,free
9,nothin'
10,take
11,you
12,away
13,me
14,we've
15,road
16,that's
17,you
18,keep
19,me
20,comin'
21,back
22,baby
23,you're
24,i
25,want
26,you're
27,lyin'
28,my
29,arms
30,i'm
31,findin'
32,hard
33,believe
34,we're
35,heaven
36,love
37,i
38,need
39,i
40,found
41,your
42,heart
43,hard
44,see
45,we're
46,heaven
47,oh
48,your
49,life
50,you
51,find
52,someone
53,turn
54,your
55,world
56,around
57,bring
58,you
59,you're
60,feelin'
61,yeah
62,nothin'
63,could
64,change
65,you
66,mean
67,me
68,oh
69,there's
70,lots
71,i
72,could
73,say
74,hold
75,me
76,cause
77,love
78,light
79,way
80,baby
81,you're
82,i
83,want
84,you're
85,lyin'
86,my
87,arms
88,i'm
89,finding
90,hard
91,believe
92,we're
93,heaven
94,yeah
95,love
96,i
97,need
98,i
99,found
100,your
101,heart
102,hard
103,see
104,we're
105,heaven
106,yeah
107,i've
108,waitin'
109,long
110,somethin'
111,arrive
112,love
113,come
114,along
115,dreams
116,comin'
117,true
118,good
119,times
120,bad
121,yeah
122,i'll
123,standin'
124,you
125,baby
126,you're
127,i
128,want
129,you're
130,lyin'
131,my
132,arms
133,i'm
134,findin'
135,hard
136,believe
137,we're
138,heaven
139,love
140,i
141,need
142,i
143,found
144,your
145,heart
146,hard
147,see
148,we're
149,heaven
150,heaven
151,woah
152,you're
153,i
154,want
155,you're
156,i
157,need
