,Wish You Were Here_Avril Lavigne
0,tough
1,strong
2,like
3,there's
4,girl
5,gives
6,shit
7,behind
8,wall
9,walk
10,pre-chorus
11,remember
12,crazy
13,thing
14,said
15,left
16,running
17,head
18,always
19,everywhere
20,right
21,wish
22,crazy
23,things
24,think
25,went
26,always
27,everywhere
28,right
29,wish
30,damn
31,damn
32,damn
33,i'd
34,wish
35,damn
36,damn
37,damn
38,i'd
39,near
40,near
41,near
42,wish
43,love
44,way
45,try
46,hard
47,always
48,say
49,say
50,like
51,truth
52,really
53,miss
54,pre-chorus
55,crazy
56,things
57,said
58,things
59,said
60,left
61,running
62,head
63,head
64,always
65,everywhere
66,right
67,wish
68,crazy
69,things
70,things
71,think
72,went
73,went
74,always
75,everywhere
76,right
77,wish
78,damn
79,damn
80,damn
81,i'd
82,wish
83,damn
84,damn
85,damn
86,i'd
87,near
88,near
89,near
90,wish
91,bridge
92,wanna
93,let
94,go
95,wanna
96,let
97,know
98,never
99,wanna
100,let
101,go
102,let
103,go
104,oh
105,oh
106,wanna
107,let
108,go
109,wanna
110,let
111,know
112,never
113,wanna
114,let
115,go
116,let
117,go
118,let
119,go
120,let
121,go
122,damn
123,damn
124,damn
125,damn
126,i'd
127,wish
128,wish
129,damn
130,damn
131,damn
132,i'd
133,i'd
134,i'd
135,near
136,near
137,near
138,wish
139,damn
140,damn
141,damn
142,i'd
143,wish
144,damn
145,damn
146,damn
147,i'd
148,near
149,near
150,near
151,wish
