,Be Without You_Mary J. Blige
0,i
1,wanna
2,you
3,gotta
4,you
5,need
6,you
7,ohoh
8,ohoh
9,i
10,wanna
11,you
12,gotta
13,you
14,need
15,you
16,ohoh
17,ohoh
18,ooh
19,ohoh
20,ohoh
21,ooh
22,ohoh
23,ohoh
24,chemistry
25,crazy
26,get
27,go
28,neither
29,one
30,us
31,knew
32,didn’t
33,build
34,nothin’
35,overnight
36,cause
37,love
38,like
39,takes
40,time
41,people
42,swore
43,phase
44,said
45,can’t
46,see
47,top
48,bottom
49,see
50,yes
51,it’s
52,true
53,yes
54,yes
55,got
56,real
57,shit
58,yes
59,see
60,baby
61,we've
62,strong
63,long
64,i
65,can’t
66,without
67,you
68,baby
69,i’ll
70,waitin’
71,you
72,get
73,home
74,'cause
75,i
76,can’t
77,sleep
78,without
79,you
80,baby
81,ohh
82,anybody
83,who’s
84,ever
85,loved
86,you
87,know
88,i
89,feel
90,hard
91,fake
92,nothin’
93,replace
94,call
95,radio
96,you
97,can’t
98,without
99,your
100,baby
101,i
102,got
103,question
104,ya
105,see
106,i
107,already
108,know
109,answer
110,still
111,i
112,wanna
113,ask
114,you
115,you
116,lie
117,make
118,me
119,cry
120,somethin'
121,behind
122,my
123,back
124,try
125,cover
126,well
127,neither
128,would
129,i
130,baby
131,my
132,love
133,your
134,love
135,yes
136,i’ll
137,faithful
138,yes
139,i’m
140,real
141,yes
142,us
143,you’ll
144,always
145,know
146,deal
147,we've
148,strong
149,long
150,i
151,can’t
152,without
153,you
154,baby
155,ohh
156,i’ll
157,waitin’
158,you
159,get
160,home
161,'cause
162,i
163,can’t
164,sleep
165,without
166,you
167,baby
168,ooh
169,anybody
170,who’s
171,ever
172,loved
173,you
174,know
175,i
176,feel
177,hard
178,fake
179,nothin’
180,replace
181,call
182,radio
183,you
184,can’t
185,without
186,your
187,baby
188,yeah
189,see
190,real
191,talk
192,i’mma
193,always
194,stay
195,matter
196,good
197,bad
198,thick
199,thin
200,right
201,wrong
202,day
203,every
204,day
205,hey
206,you’re
207,love
208,don’t
209,believe
210,ain’t
211,you
212,ain’t
213,you
214,you
215,got
216,deep
217,your
218,heart
219,deep
220,you
221,know
222,it’s
223,true
224,c’mon
225,c’mon
226,c’mon
227,well
228,let
229,me
230,see
231,you
232,put
233,your
234,hands
235,hands
236,fellas
237,tell
238,your
239,lady
240,she’s
241,one
242,fellas
243,tell
244,your
245,lady
246,she’s
247,one
248,oh
249,put
250,your
251,hands
252,hands
253,ladies
254,let
255,him
256,know
257,he’s
258,got
259,you
260,locked
261,look
262,him
263,right
264,his
265,eyes
266,tell
267,him
268,we've
269,strong
270,long
271,i
272,can’t
273,without
274,you
275,baby
276,can’t
277,without
278,you
279,baby
280,i’ll
281,waitin’
282,you
283,get
284,home
285,'cause
286,i
287,can’t
288,sleep
289,without
290,you
291,baby
292,oh
293,anybody
294,who’s
295,ever
296,loved
297,you
298,know
299,i
300,feel
301,hard
302,fake
303,nothin’
304,replace
305,call
306,radio
307,you
308,can’t
309,without
310,your
311,baby
312,hey
313,oh
314,oh
315,oh
316,hey
317,oh
318,oh
319,oh
320,i
321,wanna
322,you
323,gotta
324,you
325,need
326,you
327,i
328,wanna
329,you
330,gotta
331,you
332,need
333,you
334,i
335,wanna
336,you
337,gotta
338,you
339,need
340,you
341,i
342,wanna
343,you
344,gotta
345,you
346,need
347,you
348,i
349,wanna
350,you
351,gotta
352,you
353,need
354,you
