,All Too Well_Taylor Swift
0,walked
1,door
2,air
3,cold
4,something
5,'bout
6,felt
7,like
8,home
9,somehow
10,left
11,scarf
12,sister's
13,house
14,still
15,got
16,drawer
17,even
18,oh
19,sweet
20,disposition
21,wide-eyed
22,gaze
23,we're
24,singing
25,car
26,getting
27,lost
28,upstate
29,autumn
30,leaves
31,falling
32,like
33,pieces
34,place
35,picture
36,days
37,pre-chorus
38,know
39,long
40,gone
41,magic's
42,might
43,okay
44,i'm
45,fine
46,oh
47,oh
48,oh
49,'cause
50,little
51,town
52,street
53,almost
54,ran
55,red
56,'cause
57,looking
58,wind
59,hair
60,remember
61,well
62,photo
63,album
64,counter
65,cheeks
66,turning
67,red
68,used
69,little
70,kid
71,glasses
72,twin-sized
73,bed
74,mother's
75,telling
76,stories
77,'bout
78,tee
79,ball
80,team
81,told
82,past
83,thinking
84,future
85,pre-chorus
86,know
87,long
88,gone
89,nothing
90,else
91,could
92,forget
93,long
94,enough
95,forget
96,needed
97,'cause
98,middle
99,night
100,we're
101,dancing
102,round
103,kitchen
104,refrigerator
105,light
106,stairs
107,remember
108,well
109,yeah
110,bridge
111,maybe
112,got
113,lost
114,translation
115,maybe
116,asked
117,much
118,maybe
119,thing
120,masterpiece
121,'til
122,tore
123,running
124,scared
125,remember
126,well
127,call
128,break
129,like
130,promise
131,casually
132,cruel
133,name
134,honest
135,i'm
136,crumpled
137,piece
138,paper
139,lying
140,'cause
141,remember
142,well
143,time
144,fly
145,like
146,i'm
147,paralyzed
148,i'd
149,like
150,old
151,self
152,i'm
153,still
154,trying
155,find
156,plaid
157,shirt
158,days
159,nights
160,made
161,mail
162,back
163,things
164,walk
165,home
166,alone
167,keep
168,old
169,scarf
170,first
171,week
172,'cause
173,reminds
174,innocence
175,smells
176,like
177,can't
178,get
179,rid
180,'cause
181,remember
182,well
183,yeah
184,'cause
185,loved
186,back
187,lost
188,one
189,real
190,thing
191,ever
192,known
193,rare
194,remember
195,well
196,outro
197,wind
198,hair
199,remember
200,stairs
201,remember
202,rare
203,remember
204,well
