,Sweet Jane_Cowboy Junkies
0,anyone
1,who's
2,ever
3,heart
4,turn
5,around
6,break
7,anyone
8,who's
9,ever
10,played
11,part
12,turn
13,around
14,hate
15,sweet
16,jane
17,sweet
18,jane
19,sweet
20,sweet
21,jane
22,you're
23,waiting
24,jimmy
25,alley
26,waiting
27,him
28,come
29,back
30,home
31,waiting
32,corner
33,thinking
34,ways
35,get
36,back
37,home
38,sweet
39,jane
40,sweet
41,jane
42,sweet
43,sweet
44,jane
45,anyone
46,who's
47,ever
48,dream
49,anyone
50,who's
51,ever
52,played
53,part
54,anyone
55,who's
56,ever
57,lonely
58,anyone
59,who's
60,ever
61,split
62,apart
63,sweet
64,jane
65,sweet
66,jane
67,sweet
68,sweet
69,jane
70,heavenly
71,wine
72,roses
73,seem
74,whisper
75,me
76,you
77,smile
78,heavenly
79,wine
80,roses
81,seem
82,whisper
83,me
84,you
85,smile
86,la
87,la
88,la
89,la
90,la
91,la
92,la
93,sweet
94,jane
95,sweet
96,sweet
97,jane
