,Reborn_Kids See Ghosts
0,kid
1,cudi
2,i'm
3,so—i’m
4,reborn
5,i'm
6,movin'
7,forward
8,keep
9,movin’
10,forward
11,keep
12,movin'
13,forward
14,ain't
15,stress
16,lord
17,i'm
18,movin'
19,forward
20,keep
21,movin'
22,forward
23,keep
24,movin'
25,forward
26,i'm
27,so—i’m
28,reborn
29,i’m
30,movin'
31,forward
32,keep
33,movin’
34,forward
35,keep
36,movin'
37,forward
38,ain't
39,stress
40,lord
41,i'm
42,movin’
43,forward
44,keep
45,movin'
46,forward
47,keep
48,movin'
49,forward
50,kanye
51,west
52,rarely
53,catch
54,y'all
55,done
56,"""specially"
57,invited
58,"guest""'d"
59,y'all
60,tellin'
61,jokes
62,that's
63,gon'
64,stress
65,soon
66,walk
67,i'm
68,like
69,"""let's"
70,"out"""
71,chain
72,often
73,drained
74,meds
75,called
76,insane
77,awesome
78,thing
79,engulfed
80,shame
81,want
82,rain
83,want
84,pain
85,want
86,smoke
87,want
88,blame
89,cardio
90,audio
91,let
92,jog
93,brain
94,caught
95,audy
96,home
97,detained
98,mario
99,game
100,kid
101,cudi
102,i'm
103,so—i'm
104,reborn
105,i'm
106,movin'
107,forward
108,keep
109,movin'
110,forward
111,keep
112,movin'
113,forward
114,ain't
115,stress
116,lord
117,i'm
118,movin'
119,forward
120,keep
121,movin'
122,forward
123,keep
124,movin'
125,forward
126,i'm
127,so—i'm
128,reborn
129,i'm
130,movin'
131,forward
132,keep
133,movin'
134,forward
135,keep
136,movin'
137,forward
138,ain't
139,stress
140,lord
141,i'm
142,movin'
143,forward
144,keep
145,movin'
146,forward
147,keep
148,movin'
149,forward
150,kid
151,cudi
152,issues
153,ain't
154,much
155,could
156,peace
157,somethin'
158,starts
159,times
160,wonder
161,purpose
162,easy
163,feel
164,worthless
165,peace
166,somethin'
167,starts
168,much
169,mind
170,know
171,go
172,i've
173,come
174,long
175,way
176,hauntin'
177,feelin'
178,oh
179,low
180,ain't
181,stoppin'
182,way
183,oh
184,things
185,ain't
186,like
187,ain't
188,stoppin'
189,way
190,stress
191,yes
192,i'm
193,blessed
194,and-
195,kid
196,cudi
197,i'm
198,so—i'm
199,reborn
200,i'm
201,movin'
202,forward
203,keep
204,movin'
205,forward
206,keep
207,movin'
208,forward
209,ain't
210,stress
211,lord
212,i'm
213,movin'
214,forward
215,keep
216,movin'
217,forward
218,keep
219,movin'
220,forward
221,i'm
222,so—i'm
223,reborn
224,i'm
225,movin'
226,forward
227,keep
228,movin'
229,forward
230,keep
231,movin'
232,forward
233,ain't
234,stress
235,lord
236,i'm
237,movin'
238,forward
239,keep
240,movin'
241,forward
242,keep
243,movin'
244,forward
245,bridge
246,kid
247,cudi
248,movin'
249,forward
250,movin'
251,forward
252,movin'
253,forward
254,movin'
255,forward
256,keep
257,movin'
258,forward
259,something
260,wrong
261,keep
262,movin'
263,forward
264,hold
265,keep
266,movin'
267,forward
268,long
269,keep
270,movin'
271,forward
272,sit
273,storm
274,keep
275,movin'
276,forward
277,time
278,goes
279,keep
280,movin'
281,forward
282,really
283,find
284,way
285,keep
286,movin'
287,forward
288,storm
289,keep
290,movin'
291,forward
292,way
293,go
294,kid
295,cudi
296,i'm
297,so—i'm
298,reborn
299,i'm
300,movin'
301,forward
302,way
303,go
304,keep
305,movin'
306,forward
307,keep
308,movin'
309,forward
310,way
311,go
312,ain't
313,stress
314,lord
315,i'm
316,movin'
317,forward
318,way
319,go
320,keep
321,movin'
322,forward
323,keep
324,movin'
325,forward
326,keep
327,movin'
328,forward
329,keep
330,movin'
331,forward
332,keep
333,movin'
334,forward
335,keep
336,movin'
337,forward
338,keep
339,movin'
340,forward
341,keep
342,movin'
343,forward
344,keep
345,movin'
346,forward
347,keep
348,movin'
349,forward
350,i'm
351,so—i'm
352,reborn
353,i'm
354,movin'
355,forward
356,keep
357,movin'
358,forward
359,keep
360,movin'
361,forward
362,ain't
363,stress
364,lord
365,i'm
366,movin'
367,forward
368,keep
369,movin'
370,forward
371,keep
372,movin'
373,forward
