,You Got Me_The Roots
0,erykah
1,badu
2,you
3,worried
4,'bout
5,i
6,i
7,saw
8,club
9,i
10,went
11,my
12,homies
13,baby
14,worry
15,you
16,know
17,you
18,got
19,me
20,you
21,worried
22,'bout
23,i
24,i
25,saw
26,club
27,i
28,went
29,my
30,homies
31,baby
32,worry
33,you
34,know
35,you
36,got
37,me
38,black
39,thought
40,somebody
41,told
42,me
43,planet
44,small
45,used
46,live
47,building
48,floor
49,never
50,met
51,i'm
52,overseas
53,tour
54,peeped
55,ethiopian
56,queen
57,philly
58,taking
59,classes
60,abroad
61,she
62,studying
63,film
64,photo
65,flash
66,focus
67,record
68,said
69,she
70,working
71,flick
72,could
73,my
74,clique
75,score
76,she
77,said
78,she
79,loved
80,my
81,show
82,paris
83,elysee
84,montmartre
85,i
86,stepped
87,stage
88,took
89,piece
90,her
91,heart
92,knew
93,start
94,things
95,fall
96,apart
97,tend
98,shatter
99,she
100,like
101,shit
102,matter
103,i
104,get
105,home
106,get
107,her
108,letter
109,phone
110,whatever
111,let's
112,link
113,let's
114,get
115,together
116,shit
117,you
118,think
119,think
120,thought
121,went
122,home
123,forgot
124,time
125,passed
126,back
127,philly
128,she
129,my
130,spot
131,telling
132,me
133,things
134,i'm
135,telling
136,her
137,making
138,her
139,hot
140,starting
141,building
142,her
143,constantly
144,roundtheclock
145,she
146,my
147,world
148,like
149,hiphop
150,keep
151,telling
152,me…
153,erykah
154,badu
155,you
156,worried
157,'bout
158,i
159,i
160,saw
161,club
162,i
163,went
164,my
165,homies
166,baby
167,worry
168,you
169,know
170,you
171,got
172,me
173,you
174,worried
175,'bout
176,i
177,i
178,saw
179,club
180,i
181,went
182,my
183,homies
184,baby
185,worry
186,you
187,know
188,you
189,got
190,me
191,black
192,thought
193,eve
194,yo
195,i'm
196,type
197,that's
198,always
199,catching
200,flight
201,sometimes
202,i
203,gotta
204,height
205,night
206,that's
207,she
208,flip
209,get
210,old…
211,another
212,lonely
213,night
214,seem
215,like
216,i'm
217,side
218,you
219,loving
220,your
221,mic
222,i
223,know
224,you
225,gotta
226,get
227,paper
228,daddy
229,keep
230,shit
231,tight
232,yo
233,i
234,need
235,sort
236,love
237,my
238,life
239,you
240,dig
241,me
242,politicking
243,my
244,sister
245,new
246,york
247,city
248,she
249,said
250,she
251,know
252,ball
253,player
254,he
255,think
256,i'm
257,pretty—psych
258,i'm
259,playin'
260,boo
261,you
262,know
263,you
264,i'm
265,staying
266,boo
267,cats
268,poppin'
269,game
270,i
271,hear
272,sayin'
273,boo
274,you
275,world
276,i'm
277,still
278,your
279,girl
280,my
281,classes
282,i
283,time
284,life's
285,thrills
286,you
287,sweating
288,stage
289,think
290,me
291,you
292,rhyme
293,listening
294,your
295,homies
296,leadin'
297,you
298,blind
299,yeah
300,you
301,saying
302,i
303,trust
304,you
305,you
306,crazy
307,you
308,my
309,king
310,real
311,sometimes
312,relationships
313,get
314,ill
315,doubt
316,erykah
317,badu
318,you
319,worried
320,'bout
321,i
322,i
323,saw
324,club
325,i
326,went
327,my
328,homies
329,baby
330,worry
331,you
332,know
333,you
334,got
335,me
336,you
337,worried
338,'bout
339,i
340,i
341,saw
342,club
343,i
344,went
345,my
346,homies
347,baby
348,worry
349,you
350,know
351,you
352,got
353,me
354,black
355,thought
356,snake
357,could
358,chick
359,rat
360,could
361,cool
362,cat
363,that's
364,whispering
365,she
366,trying
367,play
368,you
369,fool
370,black
371,something's
372,your
373,chest
374,let
375,known
376,see
377,i'm
378,your
379,every
380,five
381,minutes
382,phone
383,topic
384,trust
385,matter
386,fact
387,people
388,bite
389,back
390,fracture
391,what's
392,intact
393,they'll
394,forever
395,i
396,ain't
397,oh
398,i'm
399,celebrity
400,i
401,deal
402,real
403,artificial
404,let
405,i've
406,seen
407,people
408,caught
409,love
410,like
411,whirlwinds
412,listening
413,squads
414,listening
415,girlfriends
416,that's
417,exactly
418,point
419,whole
420,world
421,ends
422,lies
423,come
424,that's
425,drama
426,begins
427,she
428,like…
429,erykah
430,badu
431,you
432,worried
433,'bout
434,i
435,i
436,saw
437,club
438,i
439,went
440,my
441,homies
442,baby
443,worry
444,you
445,know
446,you
447,got
448,me
449,you
450,worried
451,'bout
452,i
453,i
454,saw
455,club
456,i
457,went
458,my
459,homies
460,baby
461,worry
462,you
463,know
464,you
465,got
466,me
467,you
468,worried
469,'bout
470,i
471,i
472,saw
473,club
474,i
475,went
476,my
477,homies
478,baby
479,worry
480,you
481,know
482,you
483,got
484,me
485,you
486,worried
487,'bout
488,i
489,i
490,saw
491,club
492,i
493,went
494,my
495,homies
496,baby
497,worry
498,you
499,know
500,you
501,got
502,me
503,you
504,worried
505,'bout
506,i
507,i
508,saw
