,The Book of Love_The Magnetic Fields
0,book
1,love
2,long
3,boring
4,one
5,lift
6,damn
7,thing
8,full
9,charts
10,facts
11,figures
12,instructions
13,dancing
14,i
15,i
16,love
17,you
18,read
19,me
20,you
21,you
22,read
23,me
24,anything
25,book
26,love
27,music
28,fact
29,that's
30,music
31,comes
32,transcendental
33,really
34,dumb
35,i
36,i
37,love
38,you
39,sing
40,me
41,you
42,you
43,sing
44,me
45,anything
46,book
47,love
48,long
49,boring
50,written
51,long
52,ago
53,full
54,flowers
55,heartshaped
56,boxes
57,things
58,we're
59,young
60,know
61,i
62,i
63,love
64,you
65,give
66,me
67,things
68,you
69,you
70,ought
71,give
72,me
73,wedding
74,rings
75,i
76,i
77,love
78,you
79,give
80,me
81,things
82,you
83,you
84,ought
85,give
86,me
87,wedding
88,rings
