,Is This Love_Bob Marley & The Wailers
0,spoken
1,want
2,love
3,treat
4,right
5,want
6,love
7,every
8,day
9,every
10,night
11,we'll
12,together
13,roof
14,right
15,heads
16,we'll
17,share
18,shelter
19,single
20,bed
21,we'll
22,share
23,room
24,yeah
25,jah
26,provide
27,bread
28,love
29,-
30,love
31,-
32,love
33,love
34,i'm
35,feeling
36,love
37,-
38,love
39,-
40,love
41,love
42,i'm
43,feeling
44,want
45,know
46,-
47,want
48,know
49,-
50,want
51,know
52,got
53,know
54,-
55,got
56,know
57,-
58,got
59,know
60,i-i-i-i-i-i-i-i-i
61,-
62,i'm
63,willing
64,able
65,throw
66,cards
67,table
68,want
69,love
70,-
71,want
72,love
73,treat
74,-
75,love
76,treat
77,right
78,want
79,love
80,every
81,day
82,every
83,night
84,we'll
85,together
86,yeah
87,-
88,roof
89,right
90,heads
91,we'll
92,share
93,shelter
94,yeah
95,oh
96,-
97,single
98,bed
99,we'll
100,share
101,room
102,yeah
103,-
104,jah
105,provide
106,bread
107,love
108,-
109,love
110,-
111,love
112,love
113,i'm
114,feeling
115,love
116,-
117,love
118,-
119,love
120,love
121,i'm
122,feeling
123,wo-o-o-oah
124,oh
125,yes
126,know
127,yes
128,know
129,-
130,yes
131,know
132,yes
133,know
134,yes
135,know
136,-
137,yes
138,know
139,yes
140,yes
141,-
142,i'm
143,willing
144,able
145,throw
146,cards
147,table
148,want
149,love
150,-
151,want
152,love
153,treat
154,-
155,love
156,treat
157,right
158,want
159,love
160,every
161,day
162,every
163,night
164,we'll
165,together
166,roof
167,right
168,heads
169,we'll
170,share
171,shelter
172,yeah
173,oh
174,-
175,single
176,bed
177,we'll
178,share
179,room
180,jah
181,provide
182,bread
183,we'll
184,share
185,shelter
186,single
187,bed
188,we'll
189,share
190,room
191,jah
192,provide
193,bread
