,This Will Be Our Year_The Zombies
0,warmth
1,love's
2,like
3,warmth
4,sun
5,year
6,took
7,long
8,time
9,come
10,let
11,go
12,hand
13,darkness
14,gone
15,year
16,took
17,long
18,time
19,come
20,forget
21,way
22,held
23,forget
24,way
25,said
26,"""darling"
27,love
28,gave
29,faith
30,go
31,"on"""
32,we're
33,we've
34,begun
35,year
36,took
37,long
38,time
39,come
40,warmth
41,smile
42,smile
43,little
44,one
45,year
46,took
47,long
48,time
49,come
50,worry
51,worried
52,days
53,gone
54,year
55,took
56,long
57,time
58,come
59,forget
60,way
61,held
62,forget
63,way
64,said
65,"""darling"
66,love
67,gave
68,faith
69,go
70,"on"""
71,we're
72,we've
73,begun
74,year
75,took
76,long
77,time
78,come
79,year
80,took
81,long
82,time
83,come
