,Save The Best For Last_Vanessa Williams
0,sometimes
1,snow
2,comes
3,june
4,sometimes
5,sun
6,goes
7,'round
8,moon
9,i
10,see
11,passion
12,your
13,eyes
14,sometimes
15,big
16,surprise
17,cause
18,time
19,i
20,wish
21,you'd
22,tell
23,me
24,love
25,way
26,i
27,hoped
28,i
29,planned
30,somehow
31,enough
32,we're
33,standing
34,face
35,face
36,world
37,crazy
38,place
39,i
40,thought
41,chance
42,passed
43,you
44,go
45,save
46,best
47,last
48,nights
49,you
50,came
51,me
52,silly
53,girl
54,set
55,you
56,free
57,you
58,wondered
59,you'd
60,make
61,i
62,wondered
63,wrong
64,you
65,cause
66,could
67,you
68,give
69,your
70,love
71,someone
72,else
73,share
74,your
75,dreams
76,me
77,sometimes
78,thing
79,you're
80,looking
81,one
82,thing
83,you
84,can't
85,see
86,we're
87,standing
88,face
89,face
90,world
91,crazy
92,place
93,i
94,thought
95,chance
96,passed
97,you
98,go
99,save
100,best
101,last
102,sometimes
103,thing
104,you're
105,looking
106,one
107,thing
108,you
109,can't
110,see
111,sometimes
112,snow
113,comes
114,june
115,sometimes
116,sun
117,goes
118,'round
119,moon
120,i
121,thought
122,chance
123,passed
124,you
125,go
126,save
127,best
128,last
129,you
130,went
131,saved
132,best
133,last
