,Won't Go Home Without You_Maroon 5
0,asked
1,stay
2,listen
3,left
4,chance
5,say
6,oh
7,oh
8,words
9,would
10,mend
11,things
12,broken
13,far
14,late
15,gone
16,away
17,pre-chorus
18,every
19,night
20,cry
21,sleep
22,thinking
23,"""why"
24,happen
25,every
26,moment
27,"hard"""
28,hard
29,believe
30,tonight
31,give
32,one
33,chance
34,make
35,right
36,may
37,make
38,night
39,go
40,home
41,without
42,taste
43,breath
44,i'll
45,never
46,get
47,noises
48,made
49,kept
50,awake
51,oh
52,weight
53,things
54,remained
55,unspoken
56,built
57,much
58,crushed
59,us
60,every
61,day
62,pre-chorus
63,every
64,night
65,cry
66,sleep
67,thinking
68,"""why"
69,happen
70,every
71,moment
72,"hard"""
73,hard
74,believe
75,tonight
76,give
77,one
78,chance
79,make
80,right
81,may
82,make
83,night
84,go
85,home
86,without
87,oh
88,oh
89,oh
90,oh
91,tonight
92,give
93,one
94,chance
95,make
96,right
97,may
98,make
99,night
100,go
101,home
102,without
103,oh
104,oh
105,oh
106,oh
107,bridge
108,things
109,felt
110,never
111,really
112,showed
113,perhaps
114,worst
115,ever
116,let
117,go
118,ever
119,let
120,go
121,oh
122,oh
123,oh
124,oh
125,tonight
126,give
127,one
128,chance
129,make
130,right
131,may
132,make
133,night
134,go
135,home
136,without
137,oh
138,oh
139,oh
140,oh
141,tonight
142,give
143,one
144,chance
145,make
146,right
147,may
148,make
149,night
150,go
151,home
152,without
153,outro
154,go
155,home
156,without
157,go
158,home
159,without
160,go
161,home
162,without
