,Blue Ocean Floor_Justin Timberlake
0,frequencies
1,low
2,heart
3,string
4,string
5,plays
6,solos
7,rain
8,made
9,echoes
10,tidal
11,wave
12,rushing
13,pre-chorus
14,water
15,scream
16,loud
17,silence
18,surrounds
19,hear
20,loud
21,fall
22,deep
23,i'll
24,always
25,find
26,red
27,eyes
28,see
29,anymore
30,can't
31,hear
32,white
33,noise
34,send
35,heartbeat
36,i'll
37,go
38,blue
39,ocean
40,floor
41,find
42,us
43,blue
44,ocean
45,floor
46,blue
47,ocean
48,floor
49,blue
50,ocean
51,floor
52,blue
53,ocean
54,floor
55,blue
56,ocean
57,floor
58,shell
59,made
60,gold
61,found
62,beach
63,picked
64,held
65,close
66,rain
67,washed
68,glow
69,heartbeat
70,steadily
71,leads
72,pre-chorus
73,water
74,scream
75,loud
76,silence
77,surrounds
78,hear
79,loud
80,fall
81,deep
82,i'll
83,always
84,find
85,red
86,eyes
87,see
88,anymore
89,can't
90,hear
91,white
92,noise
93,send
94,heartbeat
95,i'll
96,go
97,blue
98,ocean
99,floor
100,find
101,us
102,blue
103,ocean
104,floor
105,blue
106,ocean
107,floor
108,blue
109,ocean
110,floor
111,blue
112,ocean
113,floor
114,blue
115,ocean
116,floor
117,bridge
118,20000
119,leagues
120,away
121,catch
122,day
123,travel
124,speed
125,light
126,thinking
127,thoughts
128,time
129,heartbeat
130,set
131,steady
132,pace
133,i’ll
134,let
135,rhythm
136,show
137,way
138,one
139,find
140,us
141,fade
142,disappear
143,red
144,eyes
145,see
146,anymore
147,can't
148,hear
149,white
150,noise
151,send
152,heartbeat
153,i'll
154,go
155,blue
156,ocean
157,floor
158,find
159,us
160,blue
161,ocean
162,floor
163,blue
164,ocean
165,floor
166,blue
167,ocean
168,floor
169,blue
170,ocean
171,floor
172,blue
173,ocean
174,floor
