,Apologize_Timbaland
0,i'm
1,holding
2,rope
3,got
4,ten
5,feet
6,ground
7,i'm
8,hearing
9,say
10,can't
11,make
12,sound
13,tell
14,need
15,go
16,cut
17,wait
18,tell
19,sorry
20,think
21,i'd
22,turn
23,around
24,say
25,late
26,apologize
27,late
28,said
29,late
30,apologize
31,late
32,i'd
33,take
34,another
35,chance
36,take
37,fall
38,take
39,shot
40,oh
41,oh
42,need
43,like
44,heart
45,needs
46,beat
47,nothing
48,new
49,yeah
50,yeah
51,loved
52,fire
53,red
54,turning
55,blue
56,say
57,sorry
58,like
59,angel
60,heaven
61,let
62,think
63,i'm
64,afraid
65,late
66,apologize
67,late
68,said
69,late
70,apologize
71,late
72,oh
73,oh
74,late
75,apologize
76,late
77,said
78,late
79,apologize
80,late
81,late
82,apologize
83,yeah
84,said
85,late
86,apologize
87,yeah
88,i'm
89,holding
90,rope
91,got
92,ten
93,feet
94,ground
