,Can't Take My Eyes Off of You_Lauryn Hill
0,good
1,true
2,can't
3,take
4,eyes
5,like
6,heaven
7,touch
8,heaven
9,touch
10,wanna
11,hold
12,much
13,hold
14,much
15,long
16,last
17,love
18,arrived
19,thank
20,god
21,i'm
22,alive
23,good
24,true
25,can't
26,take
27,eyes
28,pardon
29,way
30,stare
31,way
32,stare
33,there's
34,nothing
35,else
36,compare
37,sight
38,leaves
39,weak
40,words
41,left
42,speak
43,words
44,left
45,speak
46,feel
47,like
48,feel
49,please
50,let
51,know
52,real
53,good
54,true
55,can't
56,take
57,eyes
58,pre-chorus
59,need
60,baby
61,quite
62,right
63,need
64,baby
65,warm
66,lonely
67,night
68,love
69,baby
70,trust
71,say
72,"""it's"
73,"okay"""
74,oh
75,pretty
76,baby
77,let
78,pray
79,oh
80,pretty
81,baby
82,found
83,stay
84,let
85,love
86,oh
87,baby—let
88,love
89,oh
90,baby—
91,good
92,true
93,can't
94,take
95,eyes
96,eyes
97,like
98,heaven
99,touch
100,wanna
101,hold
102,much
103,hold
104,much
105,long
106,last
107,love
108,arrived
109,thank
110,god
111,i'm
112,alive
113,good
114,true
115,can't
116,take
117,eyes
118,pre-chorus
119,need
120,baby
121,quite
122,right
123,need
124,baby
125,warm
126,lonely
127,night
128,love
129,baby
130,trust
131,say
132,"""it's"
133,"okay"""
134,oh
135,pretty
136,baby
137,let
138,pray
139,oh
140,pretty
141,baby
142,found
143,stay
144,let
145,love
146,oh
147,baby—let
148,love
149,oh
150,baby—
151,need
152,baby
153,quite
154,right
155,need
156,baby
157,warm
158,lonely
159,night
160,love
161,baby
162,trust
163,say
164,"""it's"
165,"okay"""
166,oh
167,pretty
168,baby
169,let
170,pray
171,oh
172,pretty
173,baby
174,found
175,stay
176,let
177,love
178,oh
179,baby—let
180,love
181,oh
182,baby—
