,What Sarah Said_Death Cab for Cutie
0,came
1,me
2,every
3,plan
4,tiny
5,prayer
6,father
7,time
8,i
9,stared
10,my
11,shoes
12,icu
13,reeked
14,piss
15,409
16,i
17,rationed
18,my
19,breaths
20,i
21,said
22,myself
23,i'd
24,already
25,taken
26,much
27,today
28,descending
29,peak
30,lcd
31,took
32,you
33,little
34,farther
35,away
36,me
37,away
38,me
39,amongst
40,vending
41,machines
42,yearold​
43,magazines
44,place
45,say
46,goodbye
47,stung
48,like
49,violent
50,wind
51,memories
52,depend
53,faulty
54,camera
55,minds
56,i
57,knew
58,you
59,truth
60,i
61,would
62,rather
63,lose
64,never
65,lain
66,beside
67,i
68,looked
69,around
70,eyes
71,ground
72,tv
73,entertained
74,'cause
75,there's
76,comfort
77,waiting
78,room
79,nervous
80,paces
81,bracing
82,bad
83,news
84,nurse
85,comes
86,round
87,everyone
88,lifts
89,head
90,i'm
91,thinking
92,sarah
93,said
94,love
95,watching
96,someone
97,die
98,who's
99,gonna
100,watch
101,you
102,die
103,who's
104,gonna
105,watch
106,you
107,die
108,who's
109,gonna
110,watch
111,you
112,die
