,I Will Remember You_Sarah McLachlan
0,i
1,remember
2,you
3,you
4,remember
5,me
6,let
7,your
8,life
9,pass
10,you
11,weep
12,memories
13,remember
14,good
15,times
16,i
17,let
18,slip
19,away
20,us
21,things
22,got
23,bad
24,clearly
25,i
26,first
27,saw
28,you
29,smilin'
30,sun
31,want
32,feel
33,your
34,warmth
35,upon
36,me
37,i
38,want
39,one
40,i
41,remember
42,you
43,you
44,remember
45,me
46,let
47,your
48,life
49,pass
50,you
51,weep
52,memories
53,i'm
54,tired
55,i
56,can't
57,sleep
58,standin'
59,edge
60,something
61,much
62,deep
63,funny
64,feel
65,much
66,cannot
67,say
68,word
69,screaming
70,inside
71,oh
72,can't
73,heard
74,i
75,remember
76,you
77,bee
78,dahm
79,dahm
80,dahm
81,you
82,remember
83,me
84,bee
85,dah
86,dah
87,dah
88,let
89,your
90,life
91,pass
92,you
93,bee
94,dahm
95,dahm
96,dahm
97,weep
98,memories
99,bee
100,dahm
101,dahm
102,dahm
103,dahm
104,dahm
105,bee
106,dahm
107,dahm
108,dahm
109,dahm
110,dahm
111,dahm
112,afraid
113,love
114,you
115,afraid
116,lose
117,clinging
118,past
119,let
120,me
121,choose
122,darkness
123,deep
124,endless
125,night
126,you
127,gave
128,me
129,everything
130,you
131,oh
132,you
133,gave
134,me
135,life
136,i
137,remember
138,you
139,bee
140,dahm
141,dahm
142,dahm
143,you
144,remember
145,me
146,bee
147,dahm
148,dahm
149,dahm
150,let
151,your
152,life
153,pass
154,you
155,bee
156,dahm
157,dahm
158,dahm
159,weep
160,memories
161,i
162,remember
163,you
164,bee
165,dahm
166,dahm
167,dahm
168,you
169,remember
170,me
171,bee
172,dahm
173,dahm
174,dahm
175,let
176,your
177,life
178,pass
179,you
180,bee
181,dahm
182,dahm
183,dahm
184,weep
185,memories
186,weep
187,memories
