,For You_Angus & Julia Stone
0,talk
1,real
2,slowly
3,try
4,real
5,hard
6,make
7,point
8,dear
9,heart
10,go
11,prechorus
12,i'll
13,tell
14,already
15,know
16,go
17,i'll
18,tell
19,already
20,know
21,love
22,heart
23,love
24,i'll
25,make
26,star
27,universe
28,never
29,go
30,work
31,spend
32,everyday
33,shining
34,light
35,way
36,talk
37,real
38,slowly
39,hold
40,hand
41,look
42,real
43,closely
44,love
45,might
46,understand
47,go
48,prechorus
49,i'll
50,tell
51,already
52,know
53,go
54,i'll
55,tell
56,already
57,know
58,love
59,love
60,i'll
61,make
62,star
63,universe
64,never
65,go
66,work
67,spend
68,everyday
69,shining
70,light
71,way
72,go
73,prechorus
74,i'll
75,tell
76,already
77,know
78,go
79,i'll
80,tell
81,already
82,know
83,love
84,heart
85,love
86,i'll
87,make
88,star
89,universe
90,never
91,go
92,work
93,spend
94,everyday
95,shining
96,light
97,way
