,Sorry_Justin Bieber
0,written
1,julia
2,michaels
3,justin
4,tranter
5,justin
6,bieber
7,you
8,gotta
9,go
10,get
11,angry
12,my
13,honesty
14,you
15,know
16,i
17,try
18,i
19,well
20,apologies
21,i
22,hope
23,i
24,run
25,time
26,could
27,someone
28,call
29,referee
30,'cause
31,i
32,need
33,one
34,shot
35,forgiveness
36,i
37,know
38,you
39,know
40,i
41,made
42,mistakes
43,maybe
44,twice
45,twice
46,i
47,mean
48,maybe
49,couple
50,hundred
51,times
52,let
53,me
54,oh
55,let
56,me
57,redeem
58,oh
59,redeem
60,oh
61,myself
62,tonight
63,'cause
64,i
65,need
66,one
67,shot
68,second
69,chances
70,prechorus
71,yeah
72,late
73,say
74,sorry
75,'cause
76,i'm
77,missing
78,your
79,body
80,late
81,say
82,sorry
83,yeah
84,i
85,know
86,i
87,let
88,you
89,late
90,say
91,i'm
92,sorry
93,i'm
94,sorry
95,yeah
96,sorry
97,yeah
98,sorry
99,yeah
100,i
101,know
102,i
103,let
104,you
105,late
106,say
107,i'm
108,sorry
109,i'll
110,take
111,every
112,single
113,piece
114,blame
115,you
116,want
117,me
118,you
119,know
120,innocent
121,one
122,game
123,two
124,i'll
125,go
126,i'll
127,go
128,you
129,go
130,you
131,go
132,spill
133,truth
134,say
135,words
136,forget
137,prechorus
138,late
139,say
140,sorry
141,'cause
142,i'm
143,missing
144,your
145,body
146,late
147,say
148,sorry
149,yeah
150,i
151,know
152,i
153,let
154,you
155,late
156,say
157,i'm
158,sorry
159,i'm
160,trying
161,get
162,you
163,back
164,me
165,'cause
166,i'm
167,missing
168,your
169,body
170,late
171,say
172,sorry
173,yeah
174,i
175,know
176,i
177,let
178,you
179,late
180,say
181,i'm
182,sorry
183,i'm
184,sorry
185,yeah
186,sorry
187,oh
188,sorry
189,yeah
190,i
191,know
192,i
193,let
194,you
195,late
196,say
197,i'm
198,sorry
199,i'm
200,sorry
201,yeah
202,sorry
203,oh
204,sorry
205,yeah
206,i
207,know
208,i
209,let
210,you
211,late
212,say
213,i'm
214,sorry
