,Mr. E's Beautiful Blues_Eels
0,smokestack
1,spitting
2,black
3,soot
4,sooty
5,sky
6,load
7,road
8,brings
9,tear
10,indian's
11,eye
12,elephant
13,forget
14,like
15,inside
16,his
17,cage
18,ringmaster's
19,telecaster
20,sings
21,empty
22,stage
23,uhhuh
24,goddamn
25,right
26,beautiful
27,day
28,uhhuh
29,goddamn
30,right
31,beautiful
32,day
33,uhhuh
34,girl
35,curls
36,sweet
37,pink
38,ribbon
39,her
40,hair
41,crawlin'
42,her
43,window
44,cause
45,her
46,daddy
47,care
48,come
49,uhhuh
50,goddamn
51,right
52,beautiful
53,day
54,uhhuh
55,goddamn
56,right
57,beautiful
58,day
59,uhhuh
60,clown
61,frown
62,driving
63,sidewalk
64,fair
65,finger
66,trigger
67,let
68,me
69,tell
70,you
71,quite
72,scare
73,uhhuh
74,goddamn
75,right
76,beautiful
77,day
78,uhhuh
79,goddamn
80,right
81,beautiful
82,day
83,uhhuh
84,kids
85,flip
86,lids
87,heads
88,hear
89,crazy
90,sound
91,my
92,neighbor
93,digs
94,flavor
95,still
96,he's
97,moving
98,another
99,town
100,i
101,believe
102,he'll
103,come
104,back
105,goddamn
106,right
107,beautiful
108,day
109,uhhuh
110,goddamn
111,right
112,beautiful
113,day
114,uhhuh
115,i
116,know
117,you're
118,taking
119,shit
120,you
121,see
122,you
123,believe
124,anyone
125,believe
126,me
127,you
128,goddamn
129,right
130,beautiful
131,dayonly
132,you
133,uhhuh
134,goddamn
135,right
136,beautiful
137,day
138,uhhuh
139,goddamn
140,right
141,beautiful
142,day
143,uhhuh
144,goddamn
145,right
146,beautiful
147,day
148,uhhuh
