,Songbird_Eva Cassidy
0,you
1,there'll
2,crying
3,you
4,sun
5,shining
6,'cause
7,i
8,feel
9,i'm
10,you
11,alright
12,i
13,know
14,right
15,songbirds
16,keep
17,singing
18,like
19,know
20,score
21,i
22,love
23,you
24,i
25,love
26,you
27,i
28,love
29,you
30,like
31,never
32,you
33,i
34,would
35,give
36,world
37,you
38,i'd
39,never
40,cold
41,'cause
42,i
43,feel
44,i'm
45,you
46,alright
47,i
48,know
49,right
50,songbirds
51,keep
52,singing
53,like
54,know
55,score
56,i
57,love
58,you
59,i
60,love
61,you
62,i
63,love
64,you
65,like
66,never
67,like
68,never
69,like
70,never
