,Coffee_Sylvan Esso
0,produced
1,sylvan
2,esso
3,true
4,dance
5,know
6,moves
7,bow
8,dip
9,woo
10,though
11,words
12,true
13,state
14,old
15,news
16,wrap
17,me
18,your
19,arms
20,i
21,can’t
22,feel
23,rock
24,me
25,your
26,arms
27,i
28,can't
29,feel
30,get
31,get
32,get
33,get
34,feel
35,turn
36,rotation
37,stop
38,see
39,next
40,one
41,waiting
42,get
43,get
44,get
45,get
46,get
47,sentiment's
48,pair
49,feet
50,change
51,i
52,know
53,my
54,words
55,dry
56,upon
57,skin
58,like
59,name
60,i
61,remember
62,hearing
63,wild
64,winters
65,warm
66,coffee
67,mom’s
68,gone
69,you
70,love
71,me
72,blazing
73,summer
74,cold
75,coffee
76,baby's
77,gone
78,you
79,love
80,me
81,wrap
82,me
83,your
84,arms
85,i
86,can't
87,feel
88,rock
89,me
90,your
91,arms
92,i
93,can't
94,feel
95,get
96,get
97,get
98,get
99,feel
100,turn
101,rotation
102,stop
103,see
104,next
105,one
106,waiting
107,get
108,get
109,get
110,get
111,get
112,sentiment's
113,pair
114,feet
115,change
116,get
117,get
118,get
119,get
120,feel
121,general
122,attention
123,stop
124,see
125,mix
126,work
127,get
128,get
129,get
130,get
131,get
132,sentiment's
133,pair
134,feet
135,change
136,my
137,baby
138,hankypanky
139,baby
140,my
141,baby
142,rock
143,me
144,my
145,baby
146,hankypanky
147,baby
148,your
149,arms
150,my
151,baby
152,get
153,get
154,get
155,get
156,feel
157,general
158,attention
159,stop
160,see
161,mix
162,work
163,get
164,get
165,get
166,get
167,get
168,sentiment’s
169,pair
170,feet
171,change
