,You Have Killed Me_Morrissey
0,pasolini
1,me
2,'accattone'
3,you'll
4,i
5,entered
6,nothing
7,nothing
8,entered
9,me
10,'til
11,you
12,came
13,key
14,you
15,your
16,best
17,i
18,live
19,breathe
20,you
21,killed
22,me
23,you
24,killed
25,me
26,yes
27,i
28,walk
29,around
30,somehow
31,you
32,killed
33,me
34,you
35,killed
36,me
37,piazza
38,cavour
39,what's
40,my
41,life
42,visconti
43,me
44,magnani
45,you'll
46,never
47,i
48,entered
49,nothing
50,nothing
51,entered
52,me
53,'til
54,you
55,came
56,key
57,you
58,your
59,best
60,i
61,live
62,breathe
63,you
64,killed
65,me
66,you
67,killed
68,me
69,yes
70,i
71,walk
72,around
73,somehow
74,you
75,killed
76,me
77,you
78,killed
79,me
80,i
81,i
82,come
83,i
84,live
85,breathe
86,you
87,killed
88,me
89,you
90,killed
91,me
92,yes
93,i
94,walk
95,around
96,somehow
97,you
98,killed
99,me
100,you
101,killed
102,me
103,point
104,saying
105,point
106,saying
107,i
108,forgive
109,you
110,i
111,forgive
112,you
113,always
114,i
115,forgive
116,you
