,I Don't Love You_My Chemical Romance
0,well
1,go
2,ever
3,think
4,i'll
5,make
6,try
7,stay
8,maybe
9,get
10,back
11,i'll
12,find
13,another
14,way
15,pre-chorus
16,time
17,still
18,owe
19,still
20,good-for-nothing
21,know
22,take
23,gloves
24,get
25,better
26,get
27,go
28,would
29,even
30,turn
31,say
32,"""i"
33,love
34,like
35,"yesterday"""
36,sometimes
37,cry
38,hard
39,pleading
40,sick
41,tired
42,needless
43,beating
44,baby
45,knock
46,ought
47,stay
48,pre-chorus
49,blood
50,still
51,owe
52,another
53,dollar's
54,another
55,blow
56,fix
57,eyes
58,get
59,better
60,get
61,whoa
62,whoa
63,whoa
64,go
65,would
66,even
67,turn
68,say
69,"""i"
70,love
71,like
72,"yesterday"""
73,post-chorus
74,well
75,come
76,come
77,guitar
78,solo
79,go
80,would
81,guts
82,say
83,"""i"
84,love
85,like
86,loved
87,"yesterday"""
88,love
89,like
90,loved
91,yesterday
92,love
93,like
94,loved
95,yesterday
