,Love Is All_The Tallest Man on Earth
0,well
1,i
2,walk
3,upon
4,river
5,like
6,easier
7,land
8,evil's
9,my
10,pocket
11,your
12,my
13,hand
14,oh
15,your
16,my
17,hand
18,i'll
19,throw
20,current
21,i
22,stand
23,upon
24,still
25,love
26,i've
27,heard
28,my
29,heart's
30,learned
31,kill
32,oh
33,mine
34,learned
35,kill
36,oh
37,i
38,said
39,i
40,could
41,rise
42,harness
43,goals
44,come
45,tears
46,like
47,always
48,i
49,let
50,go
51,let
52,go
53,spikes
54,keep
55,falling
56,heavens
57,floor
58,future
59,skin
60,dream
61,anymore
62,dream
63,anymore
64,like
65,house
66,made
67,spider
68,webs
69,clouds
70,rolling
71,i
72,bet
73,mighty
74,river's
75,my
76,savior
77,my
78,sin
79,oh
80,my
81,savior
82,my
83,sin
84,oh
85,i
86,said
87,i
88,could
89,rise
90,harness
91,goals
92,come
93,tears
94,like
95,always
96,i
97,let
98,go
99,let
100,go
101,well
102,i
103,walk
104,upon
105,river
106,like
107,easier
108,land
109,evil's
110,my
111,pocket
112,your
113,strength
114,my
115,hand
116,your
117,strength
118,my
119,hand
120,i'll
121,throw
122,you
123,current
124,i
125,stand
126,upon
127,still
128,love
129,i've
130,heard
131,my
132,heart's
133,learned
134,kill
135,oh
136,mine
137,learned
138,kill
139,oh
140,i
141,said
142,i
143,could
144,rise
145,harness
146,goals
147,come
148,tears
149,like
150,always
151,i
152,let
153,go
154,let
155,go
