,Stand by Me_John Lennon
0,night
1,come
2,land
3,dark
4,moon
5,light
6,we'll
7,see
8,i
9,afraid
10,i
11,afraid
12,long
13,you
14,stand
15,stand
16,me
17,darling
18,darling
19,stand
20,me
21,oh
22,stand
23,me
24,oh
25,stand
26,stand
27,me
28,stand
29,me
30,sky
31,look
32,upon
33,tumble
34,fall
35,mountain
36,crumble
37,sea
38,i
39,cry
40,i
41,cry
42,i
43,shed
44,tear
45,long
46,you
47,stand
48,stand
49,me
50,darling
51,darling
52,stand
53,me
54,oh
55,stand
56,me
57,oh
58,stand
59,stand
60,me
61,stand
62,me
