,Ours_Taylor Swift
0,elevator
1,buttons
2,morning
3,air
4,strangers'
5,silence
6,makes
7,want
8,take
9,stairs
10,we'd
11,laugh
12,vacant
13,stares
14,right
15,time
16,seems
17,like
18,there's
19,always
20,someone
21,disapproves
22,they'll
23,judge
24,like
25,know
26,verdict
27,comes
28,nothing
29,else
30,jury's
31,choice
32,worry
33,pretty
34,little
35,mind
36,people
37,throw
38,rocks
39,things
40,shine
41,life
42,makes
43,love
44,look
45,hard
46,stakes
47,high
48,water's
49,rough
50,love
51,never
52,know
53,people
54,sleeves
55,ghosts
56,past
57,gonna
58,jump
59,lurking
60,shadows
61,lip
62,gloss
63,smiles
64,care
65,'cause
66,right
67,mine
68,say
69,worry
70,pretty
71,little
72,mind
73,people
74,throw
75,rocks
76,things
77,shine
78,life
79,makes
80,love
81,look
82,hard
83,stakes
84,high
85,water's
86,rough
87,love
88,bridge
89,speculate
90,wrong
91,hands
92,tough
93,mine
94,belong
95,i'll
96,fight
97,doubt
98,give
99,faith
100,song
101,breakdown
102,'cause
103,love
104,gap
105,teeth
106,love
107,riddles
108,speak
109,snide
110,remarks
111,father
112,tattoos
113,ignored
114,'cause
115,heart
116,worry
117,pretty
118,little
119,mind
120,people
121,throw
122,rocks
123,things
124,shine
125,life
126,makes
127,love
128,look
129,hard
130,worry
131,pretty
132,little
133,mind
134,people
135,throw
136,rocks
137,things
138,shine
139,can't
140,take
141,what's
142,can't
143,take
144,what's
145,outro
146,stakes
147,high
148,water's
149,rough
150,love
