,Pity Party_Melanie Martinez
0,my
1,invitations
2,disappear
3,why'd
4,i
5,put
6,my
7,heart
8,every
9,cursive
10,letter
11,tell
12,me
13,hell
14,one
15,tell
16,me
17,make
18,feel
19,better
20,prechorus
21,maybe
22,cruel
23,joke
24,me
25,whatever
26,whatever
27,means
28,there's
29,way
30,cake
31,me
32,forever
33,forever
34,my
35,party
36,i'll
37,cry
38,i
39,want
40,cry
41,i
42,want
43,cry
44,cry
45,cry
46,i'll
47,cry
48,candles
49,burn
50,place
51,i'll
52,cry
53,my
54,pity
55,party's
56,flames
57,my
58,party
59,i'll
60,cry
61,i
62,want
63,cry
64,i
65,want
66,cry
67,cry
68,cry
69,i'll
70,cry
71,candles
72,burn
73,place
74,i'll
75,cry
76,my
77,pity
78,party's
79,flames
80,maybe
81,i
82,knew
83,well
84,i
85,trapped
86,inside
87,hell
88,holds
89,me
90,maybe
91,i
92,casted
93,spell
94,told
95,decorations
96,pastel
97,ribbons
98,prechorus
99,maybe
100,cruel
101,joke
102,me
103,whatever
104,whatever
105,means
106,there's
107,way
108,cake
109,me
110,forever
111,forever
112,my
113,party
114,i'll
115,cry
116,i
117,want
118,cry
119,i
120,want
121,cry
122,cry
123,cry
124,i'll
125,cry
126,candles
127,burn
128,place
129,i'll
130,cry
131,my
132,pity
133,party's
134,flames
135,my
136,party
137,i'll
138,cry
139,i
140,want
141,cry
142,i
143,want
144,cry
145,cry
146,cry
147,i'll
148,cry
149,candles
150,burn
151,place
152,i'll
153,cry
154,my
155,pity
156,party's
157,flames
158,i'm
159,laughin'
160,i'm
161,cryin'
162,feels
163,like
164,i'm
165,dyin'
166,i'm
167,laughin'
168,i'm
169,cryin'
170,feels
171,like
172,i'm
173,dyin'
174,i'm
175,laughin'
176,i'm
177,cryin'
178,feels
179,like
180,i'm
181,dyin'
182,i'm
183,dyin'
184,i'm
185,dyin'
186,interlude
187,my
188,party
189,i'll
190,cry
191,i
192,want
193,i
194,want
195,i
196,want
197,my
198,party
199,i'll
200,cry
201,i
202,want
203,scream
204,my
205,party
206,i'll
207,cry
208,i
209,want
210,cry
211,i
212,want
213,cry
214,cry
215,cry
216,i'll
217,cry
218,candles
219,burn
220,place
221,i'll
222,cry
223,my
224,pity
225,party's
226,flames
227,my
228,party
229,i'll
230,cry
231,i
232,want
233,cry
234,i
235,want
236,cry
237,cry
238,cry
239,i'll
240,cry
241,candles
242,burn
243,place
244,i'll
245,cry
246,my
247,pity
248,party's
249,flames
250,my
251,party
252,it'sit's
253,my
254,party
255,my
256,party
257,it'sit's
258,my
259,party
260,my
261,party
262,i'll
263,cry
264,i
265,want
266,cry
267,i
268,want
269,cry
270,cry
271,cry
272,cry
273,cry
