,Keep You Much Longer_Akon
0,wish
1,i
2,could
3,keep
4,you
5,much
6,longer
7,i
8,know
9,you
10,gotta
11,go
12,cause
13,you
14,got
15,things
16,wish
17,i
18,could
19,keep
20,you
21,much
22,longer
23,you
24,busy
25,me
26,girl
27,like
28,i
29,you
30,posthook
31,wish
32,i
33,could
34,stop
35,maybe
36,say
37,hi
38,wish
39,i
40,could
41,stop
42,lay
43,your
44,side
45,wish
46,i
47,could
48,stop
49,maybe
50,say
51,hi
52,wish
53,i
54,could
55,stop
56,lay
57,your
58,side
59,tables
60,turned
61,i've
62,finally
63,learned
64,making
65,every
66,day
67,i
68,gone
69,that's
70,i'm
71,concerned
72,confirmed
73,you
74,spread
75,your
76,wings
77,learned
78,fly
79,alone
80,prehook
81,darkness
82,night
83,i'll
84,find
85,light
86,you
87,long
88,i
89,got
90,eyes
91,i'll
92,sight
93,you
94,long
95,i'm
96,alive
97,baby
98,i'd
99,die
100,you
101,wanna
102,you
103,wish
104,i
105,could
106,keep
107,you
108,much
109,longer
110,i
111,know
112,you
113,gotta
114,go
115,'cause
116,you
117,got
118,things
119,wish
120,i
121,could
122,keep
123,you
124,much
125,longer
126,you
127,busy
128,me
129,girl
130,like
131,i
132,you
133,posthook
134,wish
135,i
136,could
137,stop
138,maybe
139,say
140,hi
141,wish
142,i
143,could
144,stop
145,lay
146,your
147,side
148,wish
149,i
150,could
151,stop
152,maybe
153,say
154,hi
155,wish
156,i
157,could
158,stop
159,lay
160,your
161,side
162,you're
163,always
164,my
165,mind
166,i'm
167,racin'
168,i'm
169,paper
170,chasin'
171,you
172,i
173,said
174,one
175,day
176,i'd
177,get
178,basement
179,playin'
180,my
181,agent
182,you
183,there's
184,replacement
185,you
186,always
187,my
188,girl
189,you
190,hold
191,me
192,statement
193,prehook
194,darkness
195,night
196,i'll
197,find
198,light
199,you
200,long
201,i
202,got
203,eyes
204,i'll
205,sight
206,you
207,long
208,i'm
209,alive
210,baby
211,i'd
212,die
213,you
214,wanna
215,you
216,wish
217,i
218,could
219,keep
220,you
221,much
222,longer
223,i
224,know
225,you
226,gotta
227,go
228,'cause
229,you
230,got
231,things
232,wish
233,i
234,could
235,keep
236,you
237,much
238,longer
239,you
240,busy
241,me
242,girl
243,like
244,i
245,you
246,posthook
247,wish
248,i
249,could
250,stop
251,maybe
252,say
253,hi
254,wish
255,i
256,could
257,stop
258,lay
259,your
260,side
261,wish
262,i
263,could
264,stop
265,maybe
266,say
267,hi
268,wish
269,i
270,could
271,stop
272,lay
273,your
274,side
275,akon
276,baby
277,i
278,know
279,you
280,exactly
281,i
282,taught
283,you
284,gotta
285,get
286,money
287,first
288,you
289,come
290,spend
291,precious
292,time
293,your
294,boo
295,know
296,i
297,gotta
298,take
299,even
300,though
301,drivin'
302,me
303,crazy
304,always
305,want
306,see
307,my
308,girl
309,make
310,ooh
311,yeah
312,wish
313,i
314,could
315,keep
316,you
317,much
318,longer
319,i
320,know
321,you
322,gotta
323,go
324,'cause
325,you
326,got
327,things
328,wish
329,i
330,could
331,keep
332,you
333,much
334,longer
335,i
336,wish
337,i
338,wish
339,i
340,could
341,keep
342,you
343,much
344,longer
345,you
346,busy
347,me
348,girl
349,like
350,i
351,you
352,posthook
353,wish
354,i
355,could
356,stop
357,maybe
358,say
359,hi
360,wish
361,i
362,could
363,stop
364,lay
365,your
366,side
367,wish
368,i
369,could
370,stop
371,maybe
372,say
373,hi
374,wish
375,i
376,could
377,stop
378,lay
379,your
380,side
381,wish
382,i
383,could
384,keep
385,you
386,much
387,longer
388,wish
389,i
390,could
391,keep
392,you
393,baby
394,i
395,know
396,you
397,gotta
398,go
399,'cause
400,you
401,got
402,things
403,wish
404,i
405,could
406,keep
407,you
408,much
409,longer
410,wish
411,i
412,could
413,keep
414,you
415,baby
416,you
417,busy
418,me
419,girl
420,like
421,i
422,you
423,posthook
424,wish
425,i
426,could
427,stop
428,maybe
429,say
430,hi
431,i
432,wanna
433,keep
434,you
435,longer
436,wish
437,i
438,could
439,stop
440,lay
441,your
442,side
443,wish
444,i
445,could
446,stop
447,maybe
448,say
449,hi
450,i
451,wanna
452,keep
453,you
454,longer
455,wish
456,i
457,could
458,stop
459,lay
460,your
461,side
462,i
463,wanna
464,keep
465,you
466,longer
467,i
468,wanna
469,keep
470,you
471,longer
