,You Wanted More_Tonic
0,love
1,tragic
2,love
3,bold
4,always
5,told
6,love
7,hard
8,love
9,strong
10,never
11,say
12,wrong
13,pre-chorus
14,know
15,got
16,bitter
17,love
18,surely
19,better
20,gone
21,'cause
22,wanted
23,could
24,give
25,could
26,handle
27,life
28,can't
29,live
30,wanted
31,could
32,bear
33,could
34,offer
35,love
36,love
37,color
38,love
39,loud
40,love
41,never
42,saying
43,proud
44,love
45,trusting
46,love
47,honest
48,love
49,hand
50,hold
51,pre-chorus
52,bridge
53,got
54,pick
55,got
56,get
57,feet
58,back
59,ground
60,got
61,pick
62,pre-chorus
63,wanted
64,could
65,love
66,could
67,offer
68,harder
69,would
70,shove
71,wanted
72,could
73,give
74,could
75,handle
76,life
77,can't
78,live
