,Perfectly Lonely_John Mayer
0,little
1,love
2,spread
3,thin
4,falling
5,arms
6,made
7,bad
8,name
9,game
10,around
11,town
12,tore
13,heart
14,shut
15,prechorus
16,nothing
17,nowhere
18,simple
19,little
20,kind
21,free
22,nothing
23,one
24,that's
25,need
26,i'm
27,perfectly
28,lonely
29,i'm
30,perfectly
31,lonely
32,i'm
33,perfectly
34,lonely
35,yeah
36,belong
37,anyone
38,nobody
39,belongs
40,see
41,friends
42,around
43,time
44,time
45,ladies
46,let
47,slip
48,away
49,ask
50,i'm
51,mine
52,always
53,say
54,prechorus
55,nothing
56,nowhere
57,simple
58,little
59,kind
60,free
61,nothing
62,one
63,that's
64,need
65,i'm
66,perfectly
67,lonely
68,i'm
69,perfectly
70,lonely
71,i'm
72,perfectly
73,lonely
74,yeah
75,belong
76,anyone
77,nobody
78,belongs
79,say
80,never
81,comes
82,day
83,i'll
84,take
85,chances
86,start
87,look
88,behind
89,younger
90,times
91,thank
92,wrongs
93,led
94,love
95,strong
96,i'm
97,perfectly
98,lonely
99,i'm
100,perfectly
101,lonely
102,i'm
103,perfectly
104,lonely
105,yeah
106,cause
107,belong
108,anyone
109,nobody
110,belongs
111,that's
112,way
113,that's
114,way
115,that's
116,way
117,want
118,that's
119,way
120,that's
121,way
122,that's
123,way
124,want
125,that's
126,way
127,that's
128,way
129,that's
130,way
131,want
132,that's
133,way
134,that's
135,way
136,that's
137,way
138,want
