,You and I_Wilco
0,jeff
1,tweedy
2,&
3,feist
4,might
5,strangers
6,however
7,close
8,get
9,sometimes
10,like
11,never
12,met
13,think
14,take
15,good
16,bad
17,make
18,something
19,one
20,else
21,refrain
22,jeff
23,tweedy
24,&
25,feist
26,jeff
27,tweedy
28,&
29,feist
30,words
31,use
32,sometimes
33,misconstrued
34,well
35,guess
36,what's
37,coming
38,next
39,can't
40,ever
41,tell
42,deepest
43,well
44,i've
45,ever
46,fallen
47,bridge
48,jeff
49,tweedy
50,&
51,feist
52,oh
53,wanna
54,know
55,oh
56,wanna
57,know
58,oh
59,need
60,know
61,everything
62,oh
63,wanna
64,know
65,need
66,know
67,much
68,jeff
69,tweedy
70,&
71,feist
72,might
73,strangers
74,however
75,close
76,get
77,sometimes
78,like
79,never
80,met
81,think
82,take
83,good
84,bad
85,make
86,something
87,one
88,else
89,refrain
90,jeff
91,tweedy
92,&
93,feist
