,Good Woman_Cat Power
0,i
1,want
2,good
3,woman
4,i
5,want
6,you
7,good
8,man
9,refrain
10,i
11,leaving
12,i
13,can't
14,see
15,you
16,i
17,miss
18,your
19,heart
20,tender
21,i
22,love
23,love
24,forever
25,i
26,want
27,bad
28,woman
29,i
30,can't
31,stand
32,see
33,you
34,bad
35,man
36,i
37,miss
38,your
39,heart
40,tender
41,i
42,love
43,love
44,forever
45,refrain
46,i
47,leaving
48,i
49,can't
50,see
51,you
52,i
53,lying
54,i
55,say
56,i
57,love
58,you
59,'cause
60,i
61,want
62,good
63,woman
64,i
65,want
66,you
67,good
68,man
