,shhh.. Just listEn :)_A Rocket to the Moon
614,affixes
615,yet
616,another
617,card
618,window
619,continues
620,search
621,brush
622,jane
623,exits
624,jauntily
625,flapping
626,contract
627,lawn
628,int
629,maitland
630,house
631,day
632,adam
633,continues
634,rummaging
635,brush
636,can't
637,find
638,adam
639,calling
640,distant
641,barbara
642,honey
643,come
644,store
645,barbara
646,os
647,adam
648,need
649,good
650,brush
651,tung
652,oil
653,want
654,pick
655,piece
656,model
657,let's
658,go
659,early
660,anyone
661,sees
662,us
663,barbara
664,already
665,papered
666,rolls
667,guest
668,room
669,barbara
670,okay
671,let's
672,hurry
673,back
674,run
675,okay
676,ext
677,house
678,day
679,victorian
680,house
681,model
682,flesh
683,adam
684,stands
685,station
686,wagon
687,bumper
688,car
689,sticker
690,reading
691,warning
692,brake
693,animals
694,barbara
695,gets
696,driver's
697,side
698,drive
699,int
700,car
701,day
702,adam
703,dusts
704,inside
705,dashboard
706,clean
707,clean
708,barbara
709,preoccupied
710,jane
711,said
712,sell
713,house
714,someone
715,family
716,adam
717,ah
718,evertactful
719,jane
720,puts
721,hand
722,shoulder
723,ext
724,river
725,hill
726,day
727,see
728,car
729,coming
730,hill
731,toward
732,adam
733,vo
734,flattered
735,wants
736,sell
737,house
738,barbara
739,vo
740,know
741,wish
742,she'd
743,leave
744,us
745,alone
746,adam
747,vo
748,let's
749,think
750,we'll
751,nice
752,romantic
753,quiet
754,vacation
755,comes
756,car
757,reaches
758,rickety
759,covered
760,car
761,shakes
762,bobbing
763,every
764,plank
765,barbara
766,adam
767,tight
768,they've
769,done
770,routine
771,sing
772,old
773,johnny
774,mathis
775,song
776,lot
777,vibrato
778,together
779,chances
780,wear
781,foolish
782,grin
783,laugh
784,ext
785,downtown
786,winter
787,river
788,day
789,like
790,model
791,real
792,populated
793,camera
794,pauses
795,gorgeous
796,storefront
797,brass
798,lion
799,front
800,sign
801,doors
802,says
803,bozman
804,building
805,1835
806,old
807,man
808,polishes
809,lion
810,maitlands
811,drive
812,wave
813,barbara
814,vo
815,wave
816,lion
817,adam
818,vo
819,forget
820,balls
821,ernie
822,barbara
823,vo
824,embarrassed
825,adam
826,ernie
827,looks
828,around
829,see
830,one's
831,looking
832,polishes
833,balls
834,lion
835,camera
836,spies
837,jaunty
838,dog
839,like
840,benji
841,peeing
842,opposite
843,corner
844,lion
845,maitlands
846,drive
847,store
848,sign
849,jane
850,butterfield
851,antiques
852,real
853,estate
854,travel
855,int
856,antique
857,store
858,real
859,estate
860,office
861,travel
862,agency
863,day
864,store
865,bursting
866,antiques
867,sorts
868,travel
869,brochures
870,photographs
871,houses
872,sale
873,serveyourself
874,xerox
875,machine
876,little
877,jane
878,eight
879,yearold
880,daughter
881,drudgingly
882,making
883,copies
884,jane
885,phone
886,hand
887,rushes
888,window
889,watch
890,maitlands
891,drive
892,almost
893,popping
894,cord
895,reaches
896,end
897,waiting
898,party
899,pick
900,jane
901,ello
902,mrs
903,deetz
904,well
905,condition
906,country
907,folk
908,call
909,fixin'
910,yes
911,think
912,fixin'
913,accept
914,another
915,offer
916,well
917,maybe
918,offer
919,390000
920,they'll
921,take
922,ext
923,maitland
924,hardware
925,day
926,adam
927,sprints
928,steps
929,lovely
930,hardware
931,store
932,old
933,bill
934,slightlyaddled
935,ancient
936,barber
937,napping
938,chair
939,front
940,shop
941,next
942,door
943,adam's
944,adam
945,fumbles
946,lock
947,interested
948,conver
949,sation
950,drops
951,keys
952,waking
953,old
954,bill
955,old
956,bill
957,'morning
958,adam
959,need
960,haircut
961,vacation
962,adam
963,thanks
964,bill
965,old
966,bill
967,how's
968,model
969,coming
970,adam
971,good
972,bill
973,good
974,bill
975,turns
976,around
977,continues
978,prattling
979,even
980,though
981,adam
982,entered
983,bill
984,prattles
985,throughout
986,old
987,bill
988,y'know
989,thinkin'
990,said
991,bozman
992,built
993,foundation
994,1835
995,y'know
996,grandson
997,came
998,last
999,week
1000,said
1001,found
1002,bottle
1003,1836
1004,stamp
1005,plastered
1006,foundation
1007,suddenly
1008,disgusted
1009,memory
1010,he's
1011,got
1012,hair
1013,goddamned
1014,shoulders
1015,int
1016,maitland
1017,hardware
1018,adam
1019,pulls
1020,good
1021,paintbrushes
1022,carefully
1023,picks
1024,small
1025,model
1026,bozman
1027,building
1028,walks
1029,old
1030,bill
1031,continues
1032,unabated
1033,old
1034,bill
1035,said
1036,give
1037,trim
1038,took
1039,scissors
