,Without You_Harry Nilsson
0,i
1,can't
2,forget
3,evening
4,your
5,face
6,you
7,leaving
8,i
9,guess
10,that's
11,way
12,story
13,goes
14,you
15,always
16,smile
17,your
18,eyes
19,your
20,sorrow
21,shows
22,yes
23,shows
24,i
25,can't
26,forget
27,tomorrow
28,i
29,think
30,my
31,sorrow
32,i
33,you
34,i
35,let
36,you
37,go
38,fair
39,i
40,let
41,you
42,know
43,you
44,know
45,i
46,can't
47,live
48,living
49,without
50,you
51,i
52,can't
53,live
54,i
55,can't
56,give
57,anymore
58,i
59,can't
60,live
61,living
62,without
63,you
64,i
65,can't
66,give
67,i
68,can't
69,give
70,anymore
71,well
72,i
73,can't
74,forget
75,evening
76,your
77,face
78,you
79,leaving
80,i
81,guess
82,that's
83,way
84,story
85,goes
86,you
87,always
88,smile
89,your
90,eyes
91,your
92,sorrow
93,shows
94,yes
95,shows
96,can't
97,live
98,living
99,without
100,you
101,i
102,can't
103,live
104,i
105,can't
106,give
107,anymore
108,i
109,can't
110,live
111,living
112,without
113,you
114,i
115,can't
116,live
117,i
118,can't
119,give
120,anymore
121,living
122,without
123,you
