,Home_Edward Sharpe & The Magnetic Zeros
0,jade
1,alexander
2,alabama
3,arkansas
4,i
5,love
6,my
7,pa
8,way
9,i
10,love
11,you
12,holy
13,moly
14,me
15,oh
16,my
17,you're
18,apple
19,my
20,eye
21,girl
22,i
23,never
24,loved
25,one
26,like
27,you
28,man
29,oh
30,man
31,you're
32,my
33,best
34,friend
35,i
36,scream
37,nothingness
38,ain't
39,nothing
40,i
41,need
42,hot
43,heavy
44,pumpkin
45,pie
46,chocolate
47,candy
48,jesus
49,christ
50,ain't
51,nothing
52,please
53,me
54,you
55,oh
56,home
57,let
58,me
59,come
60,home
61,home
62,whenever
63,i'm
64,you
65,oh
66,home
67,let
68,me
69,come
70,home
71,home
72,wherever
73,i'm
74,you
75,postchorus
76,la
77,la
78,la
79,la
80,take
81,me
82,home
83,mommy
84,i'm
85,coming
86,home
87,jade
88,alexander
89,i'll
90,follow
91,you
92,park
93,jungle
94,dark
95,girl
96,i
97,never
98,loved
99,one
100,like
101,you
102,moats
103,boats
104,waterfalls
105,alleyways
106,pay
107,phone
108,calls
109,i
110,everywhere
111,you
112,that's
113,true
114,laugh
115,think
116,we'll
117,die
118,barefoot
119,summer
120,night
121,never
122,could
123,sweeter
124,you
125,streets
126,you
127,run
128,afree
129,like
130,you
131,me
132,geeze
133,you're
134,something
135,see
136,oh
137,home
138,let
139,me
140,come
141,home
142,home
143,whenever
144,i'm
145,you
146,oh
147,home
148,let
149,me
150,come
151,home
152,home
153,wherever
154,i'm
155,you
156,postchorus
157,la
158,la
159,la
160,la
161,take
162,me
163,home
164,daddy
165,i'm
166,coming
167,home
168,jade
169,alexander
170,spoken
171,jade
172,alexander
173,you
174,remember
175,day
176,you
177,fell
178,outta
179,my
180,window
181,i
182,sure
183,‒
184,you
185,came
186,jumping
187,me
188,well
189,you
190,fell
191,concrete
192,nearly
193,broke
194,you
195,ass
196,you
197,bleeding
198,place
199,i
200,rushed
201,you
202,hospital
203,you
204,remember
205,yes
206,i
207,well
208,there's
209,something
210,i
211,never
212,told
213,you
214,night
215,you
216,tell
217,me
218,you
219,sitting
220,back
221,seat
222,smoking
223,cigarette
224,you
225,thought
226,gonna
227,your
228,last
229,i
230,falling
231,deep
232,deeply
233,love
234,you
235,i
236,never
237,told
238,you
239,till
240,aww
241,oh
242,home
243,let
244,me
245,come
246,home
247,home
248,whenever
249,i'm
250,you
251,oh
252,home
253,let
254,me
255,come
256,home
257,home
258,i'm
259,alone
260,you
261,jade
262,alexander
263,home
264,let
265,me
266,come
267,home
268,home
269,wherever
270,i'm
271,you
272,home
273,yes
274,i
275,home
276,home
277,i'm
278,alone
279,you
280,alabama
281,arkansas
282,i
283,love
284,my
285,pa
286,moats
287,boats
288,waterfalls
289,alleyways
290,payphone
291,calls
292,oh
293,home
294,home
295,oh
296,home
297,home
298,home
299,wherever
300,i'm
301,you
302,oh
303,home
304,home
305,oh
306,home
307,home
308,home
309,wherever
310,i'm
311,you
