,Anna (Go to Him)_The Beatles
0,anna
1,come
2,ask
3,girl
4,set
5,free
6,girl
7,say
8,loves
9,set
10,free
11,go
12,go
13,anna
14,girl
15,go
16,want
17,know
18,still
19,love
20,loves
21,go
22,life
23,i've
24,searching
25,girl
26,love
27,like
28,love
29,oh
30,every
31,girl
32,i've
33,ever
34,breaks
35,heart
36,leaves
37,sad
38,supposed
39,anna
40,one
41,thing
42,girl
43,give
44,back
45,ring
46,set
47,free
48,go
49,life
50,i've
51,searching
52,girl
53,love
54,like
55,love
56,let
57,tell
58,every
59,girl
60,i've
61,ever
62,breaks
63,heart
64,leave
65,sad
66,supposed
67,anna
68,one
69,thing
70,girl
71,give
72,back
73,ring
74,set
75,free
76,go
77,outro
78,go
79,go
80,girl
81,go
