,Wonderful Tonight_Eric Clapton
0,late
1,evening
2,wondering
3,clothes
4,wear
5,puts
6,make-up
7,brushes
8,long
9,blonde
10,hair
11,asks
12,"""do"
13,look
14,"right"""
15,say
16,"""yes"
17,look
18,wonderful
19,"tonight"""
20,go
21,party
22,everyone
23,turns
24,see
25,beautiful
26,lady
27,that's
28,walking
29,around
30,asks
31,"""do"
32,feel
33,"right"""
34,say
35,"""yes"
36,feel
37,wonderful
38,"tonight"""
39,bridge
40,feel
41,wonderful
42,see
43,love
44,light
45,eyes
46,wonder
47,realize
48,much
49,love
50,time
51,go
52,home
53,i've
54,got
55,aching
56,head
57,give
58,car
59,keys
60,helps
61,bed
62,tell
63,turn
64,light
65,say
66,"""my"
67,darling
68,wonderful
69,tonight
70,oh
71,darling
72,wonderful
73,"tonight"""
