,Fake Plastic Trees_Radiohead
0,green
1,plastic
2,watering
3,fake
4,chinese
5,rubber
6,plant
7,fake
8,plastic
9,earth
10,bought
11,rubber
12,man
13,town
14,full
15,rubber
16,plans
17,get
18,rid
19,wears
20,wears
21,wears
22,wears
23,lives
24,broken
25,man
26,cracked
27,polystyrene
28,man
29,crumbles
30,burns
31,used
32,surgery
33,girls
34,80s
35,gravity
36,always
37,wins
38,wears
39,wears
40,wears
41,wears
42,looks
43,like
44,real
45,thing
46,tastes
47,like
48,real
49,thing
50,fake
51,plastic
52,love
53,can't
54,help
55,feeling
56,could
57,blow
58,ceiling
59,turn
60,run
61,wears
62,wears
63,wears
64,wears
65,outro
66,could
67,wanted
68,could
69,wanted
70,time
71,time
