,My Girl_The Temptations
0,instrumental
1,i've
2,got
3,sunshine
4,cloudy
5,day
6,cold
7,outside
8,i've
9,got
10,month
11,may
12,i
13,guess
14,you'd
15,say
16,make
17,me
18,feel
19,way
20,my
21,girl
22,my
23,girl
24,my
25,girl
26,talkin'
27,'bout
28,my
29,girl
30,my
31,girl
32,i've
33,got
34,much
35,honey
36,bees
37,envy
38,me
39,i've
40,got
41,sweeter
42,song
43,birds
44,trees
45,well
46,i
47,guess
48,you'd
49,say
50,make
51,me
52,feel
53,way
54,my
55,girl
56,my
57,girl
58,my
59,girl
60,talkin'
61,'bout
62,my
63,girl
64,my
65,girl
66,ooh
67,ooh
68,hey
69,hey
70,hey
71,ooh
72,ooh
73,hey
74,hey
75,hey
76,ooh
77,ooh
78,yeah
79,i
80,need
81,money
82,fortune
83,fame
84,i've
85,got
86,riches
87,baby
88,one
89,man
90,claim
91,well
92,i
93,guess
94,you'd
95,say
96,make
97,me
98,feel
99,way
100,my
101,girl
102,my
103,girl
104,my
105,girl
106,talkin'
107,'bout
108,my
109,girl
110,my
111,girl
112,talkin'
113,'bout
114,my
115,girl
116,i've
117,got
118,sunshine
119,cloudy
120,day
121,woah
122,woah
123,my
124,girl
125,i've
126,even
127,got
128,month
129,may
130,my
131,girl
132,talkin'
133,'bout
134,my
135,girl
