,Love Like a Sunset Part II_Phoenix
0,acres
1,visible
2,horizon
3,right
4,starts
5,ends
6,oh
7,start
8,end
9,acres
10,visible
11,illusion
12,oh
13,starts
14,ends
15,love
16,like
17,sunset
