,Thank You_Dido
0,my
1,tea's
2,gone
3,cold
4,i'm
5,wondering
6,i
7,got
8,bed
9,morning
10,rain
11,clouds
12,my
13,window
14,i
15,can't
16,see
17,even
18,i
19,could
20,it'd
21,grey
22,your
23,picture
24,my
25,wall
26,reminds
27,me
28,bad
29,bad
30,i
31,drank
32,much
33,last
34,night
35,got
36,bills
37,pay
38,my
39,head
40,feels
41,pain
42,i
43,missed
44,bus
45,there'll
46,hell
47,today
48,i'm
49,late
50,work
51,even
52,i'm
53,they'll
54,imply
55,i
56,might
57,last
58,day
59,you
60,call
61,me
62,bad
63,bad
64,i
65,want
66,thank
67,you
68,giving
69,me
70,best
71,day
72,my
73,life
74,oh
75,you
76,best
77,day
78,my
79,life
80,push
81,door
82,i'm
83,home
84,last
85,i'm
86,soaking
87,you
88,handed
89,me
90,towel
91,i
92,see
93,you
94,even
95,my
96,house
97,falls
98,i
99,clue
100,you're
101,near
102,me
103,i
104,want
105,thank
106,you
107,giving
108,me
109,best
110,day
111,my
112,life
113,oh
114,you
115,best
116,day
117,my
118,life
119,i
120,want
121,thank
122,you
123,giving
124,me
125,best
126,day
127,my
128,life
129,oh
130,you
131,best
132,day
133,my
134,life
